stationno,datetime,datetime,datetime
420,781,1927-08-18 08:00:00+00:00,1945-02-24 16:00:00+00:00
421,2501,1927-01-16 08:00:00+00:00,1945-02-27 08:00:00+00:00
422,210,1929-03-12 12:00:00+00:00,1945-04-30 12:00:00+00:00
423,136,1926-01-10 12:00:00+00:00,1945-03-20 16:00:00+00:00
424,92,1927-01-18 08:00:00+00:00,1945-02-11 04:00:00+00:00
425,122,1928-10-29 12:00:00+00:00,1945-05-23 08:00:00+00:00
426,84,1931-06-13 12:00:00+00:00,1945-05-28 16:00:00+00:00
427,142,1931-10-19 12:00:00+00:00,1945-06-19 12:00:00+00:00
428,94,1933-04-07 08:00:00+00:00,1945-06-07 16:00:00+00:00
429,95,1932-03-22 16:00:00+00:00,1945-06-12 16:00:00+00:00
430,139,1932-03-18 12:00:00+00:00,1945-07-07 16:00:00+00:00
431,100,1933-05-07 16:00:00+00:00,1945-06-14 16:00:00+00:00
432,96,1930-08-05 08:00:00+00:00,1945-06-13 12:00:00+00:00
433,93,1927-08-22 08:00:00+00:00,1945-05-29 12:00:00+00:00
434,57,1933-02-13 12:00:00+00:00,1945-06-21 08:00:00+00:00
435,78,1933-02-13 08:00:00+00:00,1945-05-18 08:00:00+00:00
436,89,1932-03-17 08:00:00+00:00,1945-04-27 12:00:00+00:00
437,68,1932-03-17 12:00:00+00:00,1945-07-30 12:00:00+00:00
438,84,1932-03-17 16:00:00+00:00,1945-08-02 12:00:00+00:00
439,35,1932-03-17 12:00:00+00:00,1945-04-15 16:00:00+00:00
440,65,1932-03-17 08:00:00+00:00,1945-05-04 12:00:00+00:00
441,72,1934-08-24 16:00:00+00:00,1945-05-04 08:00:00+00:00
442,65,1932-04-09 08:00:00+00:00,1945-03-08 16:00:00+00:00
443,85,1935-05-07 08:00:00+00:00,1945-03-20 04:00:00+00:00
444,131,1932-03-16 08:00:00+00:00,1945-08-30 12:00:00+00:00
445,79,1932-04-13 08:00:00+00:00,1945-08-22 12:00:00+00:00
446,104,1932-04-13 16:00:00+00:00,1945-03-31 04:00:00+00:00
447,78,1932-02-05 08:00:00+00:00,1945-07-11 16:00:00+00:00
448,64,1932-12-29 12:00:00+00:00,1945-07-18 16:00:00+00:00
449,62,1932-03-12 16:00:00+00:00,1945-03-31 20:00:00+00:00
450,67,1928-06-17 08:00:00+00:00,1945-08-11 08:00:00+00:00
451,93,1928-06-17 08:00:00+00:00,1945-08-11 12:00:00+00:00
452,118,1932-07-02 08:00:00+00:00,1945-08-11 16:00:00+00:00
453,90,1932-03-11 16:00:00+00:00,1945-07-22 16:00:00+00:00
454,69,1933-01-31 12:00:00+00:00,1945-01-30 08:00:00+00:00
455,74,1933-01-31 16:00:00+00:00,1945-05-29 08:00:00+00:00
456,68,1933-02-09 08:00:00+00:00,1945-07-14 16:00:00+00:00
457,66,1933-05-03 16:00:00+00:00,1945-02-28 20:00:00+00:00
458,100,1933-02-01 08:00:00+00:00,1945-03-16 16:00:00+00:00
459,100,1933-02-01 12:00:00+00:00,1945-08-12 12:00:00+00:00
460,87,1932-05-08 12:00:00+00:00,1945-08-12 16:00:00+00:00
461,59,1933-02-08 08:00:00+00:00,1944-11-22 20:00:00+00:00
462,78,1932-05-08 16:00:00+00:00,1944-11-22 12:00:00+00:00
463,94,1933-04-05 12:00:00+00:00,1945-01-14 08:00:00+00:00
464,75,1933-02-02 08:00:00+00:00,1944-11-21 04:00:00+00:00
465,77,1930-04-15 08:00:00+00:00,1945-08-15 08:00:00+00:00
466,238,1930-04-15 12:00:00+00:00,1945-05-22 12:00:00+00:00
467,448,1930-04-04 08:00:00+00:00,1945-05-22 08:00:00+00:00
468,153,1928-07-02 08:00:00+00:00,1945-05-18 12:00:00+00:00
469,101,1929-08-25 08:00:00+00:00,1945-05-18 16:00:00+00:00
470,310,1933-02-03 12:00:00+00:00,1945-07-05 20:00:00+00:00
471,57,1930-05-04 16:00:00+00:00,1945-06-12 16:00:00+00:00
472,74,1928-09-28 08:00:00+00:00,1945-03-16 12:00:00+00:00
473,79,1930-05-04 16:00:00+00:00,1945-06-23 12:00:00+00:00
474,133,1927-04-27 08:00:00+00:00,1945-03-14 04:00:00+00:00
475,122,1926-01-19 16:00:00+00:00,1945-01-27 20:00:00+00:00
476,69,1927-07-18 08:00:00+00:00,1945-03-14 04:00:00+00:00
477,73,1926-01-15 12:00:00+00:00,1945-01-15 08:00:00+00:00
478,39,1930-05-31 12:00:00+00:00,1945-03-12 08:00:00+00:00
479,45,1927-03-11 08:00:00+00:00,1945-01-18 16:00:00+00:00
480,32,1929-04-16 12:00:00+00:00,1945-03-08 08:00:00+00:00
481,54,1928-07-16 08:00:00+00:00,1945-03-12 20:00:00+00:00
482,156,1926-02-18 08:00:00+00:00,1945-03-28 08:00:00+00:00
483,112,1927-04-20 08:00:00+00:00,1945-03-27 12:00:00+00:00
484,26,1929-01-23 08:00:00+00:00,1945-03-25 08:00:00+00:00
485,12,1928-03-21 08:00:00+00:00,1943-11-23 08:00:00+00:00
492,15,1930-07-03 08:00:00+00:00,1943-11-21 20:00:00+00:00
494,20,1926-03-22 16:00:00+00:00,1944-02-23 08:00:00+00:00
495,27,1931-02-15 12:00:00+00:00,1944-02-23 12:00:00+00:00
496,38,1927-06-21 08:00:00+00:00,1944-10-21 16:00:00+00:00
497,27,1926-02-08 16:00:00+00:00,1944-12-28 20:00:00+00:00
500,19,1930-02-21 16:00:00+00:00,1944-12-29 08:00:00+00:00
501,16,1930-02-21 12:00:00+00:00,1944-02-04 12:00:00+00:00
505,41,1929-01-20 08:00:00+00:00,1944-07-09 12:00:00+00:00
506,63,1931-02-11 08:00:00+00:00,1945-02-22 08:00:00+00:00
508,36,1934-11-23 08:00:00+00:00,1944-10-28 16:00:00+00:00
509,44,1937-11-25 08:00:00+00:00,1945-07-09 12:00:00+00:00
510,37,1936-11-13 16:00:00+00:00,1945-07-09 16:00:00+00:00
511,30,1942-04-25 20:00:00+00:00,1944-12-18 16:00:00+00:00
512,55,1931-04-13 16:00:00+00:00,1944-12-18 20:00:00+00:00
513,71,1930-06-17 12:00:00+00:00,1944-11-08 16:00:00+00:00
514,100,1926-02-03 12:00:00+00:00,1945-01-13 12:00:00+00:00
515,68,1929-01-17 12:00:00+00:00,1945-02-21 04:00:00+00:00
516,59,1934-03-03 20:00:00+00:00,1945-01-14 04:00:00+00:00
517,41,1932-10-31 12:00:00+00:00,1945-01-19 08:00:00+00:00
518,67,1931-07-01 16:00:00+00:00,1945-01-31 08:00:00+00:00
519,101,1928-10-06 16:00:00+00:00,1945-01-30 08:00:00+00:00
520,1091,1928-10-06 12:00:00+00:00,1944-12-06 20:00:00+00:00
521,4618,1926-08-07 08:00:00+00:00,1945-04-29 04:00:00+00:00
522,671,1929-09-15 12:00:00+00:00,1945-02-13 20:00:00+00:00
523,121,1929-03-11 08:00:00+00:00,1945-02-09 16:00:00+00:00
524,96,1930-01-27 20:00:00+00:00,1945-02-19 04:00:00+00:00
525,133,1928-10-29 08:00:00+00:00,1945-02-18 04:00:00+00:00
526,74,1926-08-17 08:00:00+00:00,1945-04-18 08:00:00+00:00
527,125,1927-08-20 08:00:00+00:00,1945-06-19 08:00:00+00:00
528,184,1930-08-04 12:00:00+00:00,1945-05-30 12:00:00+00:00
529,86,1932-03-18 08:00:00+00:00,1945-06-15 12:00:00+00:00
530,97,1936-02-15 12:00:00+00:00,1945-06-16 16:00:00+00:00
531,100,1932-04-24 12:00:00+00:00,1945-05-30 20:00:00+00:00
532,166,1929-08-19 20:00:00+00:00,1945-05-27 16:00:00+00:00
533,72,1930-06-15 08:00:00+00:00,1945-04-25 08:00:00+00:00
534,46,1933-05-16 08:00:00+00:00,1944-12-31 08:00:00+00:00
535,127,1933-05-06 16:00:00+00:00,1945-04-27 16:00:00+00:00
536,56,1935-05-02 16:00:00+00:00,1945-05-10 12:00:00+00:00
537,58,1932-02-05 08:00:00+00:00,1945-05-19 16:00:00+00:00
538,80,1932-02-05 12:00:00+00:00,1945-08-03 16:00:00+00:00
539,67,1932-02-05 16:00:00+00:00,1945-08-02 08:00:00+00:00
540,208,1933-04-20 16:00:00+00:00,1945-03-15 04:00:00+00:00
541,87,1933-04-20 12:00:00+00:00,1945-03-09 08:00:00+00:00
542,151,1932-08-06 16:00:00+00:00,1945-07-05 12:00:00+00:00
543,79,1932-03-16 16:00:00+00:00,1945-04-08 12:00:00+00:00
544,116,1932-02-04 16:00:00+00:00,1945-08-30 16:00:00+00:00
545,209,1932-09-13 16:00:00+00:00,1945-08-22 08:00:00+00:00
546,202,1932-02-29 16:00:00+00:00,1945-06-23 08:00:00+00:00
547,97,1932-02-29 12:00:00+00:00,1945-05-26 16:00:00+00:00
548,86,1932-02-29 08:00:00+00:00,1945-03-22 12:00:00+00:00
549,83,1932-04-14 16:00:00+00:00,1945-05-28 08:00:00+00:00
550,76,1932-04-14 20:00:00+00:00,1945-07-19 16:00:00+00:00
551,69,1932-05-05 12:00:00+00:00,1945-07-22 08:00:00+00:00
552,49,1934-02-13 20:00:00+00:00,1945-07-26 16:00:00+00:00
553,49,1932-12-28 08:00:00+00:00,1945-07-15 08:00:00+00:00
554,51,1933-05-12 16:00:00+00:00,1945-05-29 12:00:00+00:00
555,52,1933-05-12 08:00:00+00:00,1945-07-14 08:00:00+00:00
556,91,1933-02-10 08:00:00+00:00,1945-06-25 08:00:00+00:00
557,93,1933-05-02 08:00:00+00:00,1945-06-25 16:00:00+00:00
558,90,1933-04-17 20:00:00+00:00,1944-09-26 20:00:00+00:00
559,79,1932-05-08 08:00:00+00:00,1945-03-16 12:00:00+00:00
560,79,1932-07-01 16:00:00+00:00,1944-10-24 12:00:00+00:00
561,89,1932-07-01 08:00:00+00:00,1944-10-24 16:00:00+00:00
562,77,1932-06-27 16:00:00+00:00,1944-11-23 04:00:00+00:00
563,80,1932-06-24 08:00:00+00:00,1944-11-27 12:00:00+00:00
564,82,1930-04-04 12:00:00+00:00,1944-09-14 16:00:00+00:00
565,65,1930-04-04 08:00:00+00:00,1945-05-22 16:00:00+00:00
566,67,1933-06-13 12:00:00+00:00,1945-08-15 16:00:00+00:00
567,150,1931-09-30 08:00:00+00:00,1945-01-22 20:00:00+00:00
568,97,1933-02-06 16:00:00+00:00,1945-03-07 12:00:00+00:00
569,79,1928-09-30 16:00:00+00:00,1945-06-12 12:00:00+00:00
570,86,1930-04-16 08:00:00+00:00,1945-01-11 12:00:00+00:00
571,94,1930-04-16 12:00:00+00:00,1945-07-05 16:00:00+00:00
572,80,1930-04-16 16:00:00+00:00,1945-07-05 08:00:00+00:00
573,58,1929-06-07 16:00:00+00:00,1945-05-19 08:00:00+00:00
574,131,1926-01-21 16:00:00+00:00,1945-06-25 16:00:00+00:00
575,140,1926-01-19 08:00:00+00:00,1945-05-22 08:00:00+00:00
576,77,1928-10-12 12:00:00+00:00,1945-05-22 12:00:00+00:00
577,80,1927-04-23 08:00:00+00:00,1945-05-22 16:00:00+00:00
578,41,1931-03-18 12:00:00+00:00,1945-06-28 16:00:00+00:00
579,72,1926-02-23 16:00:00+00:00,1945-03-14 16:00:00+00:00
580,78,1926-02-25 08:00:00+00:00,1945-02-09 20:00:00+00:00
581,63,1926-02-18 16:00:00+00:00,1945-03-08 12:00:00+00:00
582,136,1926-01-26 08:00:00+00:00,1945-02-25 12:00:00+00:00
583,22,1926-02-09 16:00:00+00:00,1945-03-04 12:00:00+00:00
584,53,1926-02-06 16:00:00+00:00,1945-03-14 12:00:00+00:00
585,30,1927-03-28 08:00:00+00:00,1944-02-05 12:00:00+00:00
586,32,1926-02-06 12:00:00+00:00,1944-02-05 08:00:00+00:00
595,13,1930-07-03 16:00:00+00:00,1944-02-23 16:00:00+00:00
596,19,1926-03-23 08:00:00+00:00,1943-11-20 20:00:00+00:00
597,23,1926-03-23 16:00:00+00:00,1943-11-20 20:00:00+00:00
598,28,1928-04-02 08:00:00+00:00,1944-07-21 12:00:00+00:00
599,16,1929-03-16 16:00:00+00:00,1944-12-29 04:00:00+00:00
600,159,1926-03-24 16:00:00+00:00,1944-10-22 08:00:00+00:00
601,570,1926-02-07 16:00:00+00:00,1944-12-29 12:00:00+00:00
602,38,1926-02-07 08:00:00+00:00,1944-10-11 20:00:00+00:00
603,51,1927-02-23 08:00:00+00:00,1944-12-29 16:00:00+00:00
604,260,1936-05-03 12:00:00+00:00,1944-10-28 12:00:00+00:00
605,304,1936-05-03 08:00:00+00:00,1944-10-28 16:00:00+00:00
606,23,1939-04-07 08:00:00+00:00,1944-10-28 20:00:00+00:00
607,85,1933-05-08 08:00:00+00:00,1945-02-22 04:00:00+00:00
608,37,1930-07-03 12:00:00+00:00,1944-11-07 20:00:00+00:00
609,18,1934-05-25 12:00:00+00:00,1944-09-07 12:00:00+00:00
610,26,1936-05-01 16:00:00+00:00,1944-10-22 20:00:00+00:00
611,25,1930-07-04 16:00:00+00:00,1945-02-21 16:00:00+00:00
612,16,1934-04-12 04:00:00+00:00,1944-10-24 16:00:00+00:00
613,25,1934-11-21 12:00:00+00:00,1945-07-10 08:00:00+00:00
614,68,1926-02-03 08:00:00+00:00,1945-07-10 16:00:00+00:00
615,76,1927-02-19 08:00:00+00:00,1944-12-19 08:00:00+00:00
616,52,1934-11-07 12:00:00+00:00,1945-01-14 04:00:00+00:00
617,25,1934-04-11 12:00:00+00:00,1945-01-19 04:00:00+00:00
618,111,1932-08-19 12:00:00+00:00,1945-04-28 20:00:00+00:00
619,62,1929-03-05 08:00:00+00:00,1945-03-04 20:00:00+00:00
620,3077,1928-10-06 08:00:00+00:00,1944-10-30 08:00:00+00:00
621,355,1928-11-18 16:00:00+00:00,1945-02-27 20:00:00+00:00
622,230,1926-10-28 08:00:00+00:00,1945-05-31 20:00:00+00:00
623,185,1929-08-12 16:00:00+00:00,1945-02-23 12:00:00+00:00
624,241,1930-01-27 16:00:00+00:00,1945-02-03 20:00:00+00:00
625,138,1929-08-13 08:00:00+00:00,1945-05-23 04:00:00+00:00
626,87,1932-03-19 08:00:00+00:00,1945-05-30 04:00:00+00:00
627,109,1934-04-12 16:00:00+00:00,1945-06-18 12:00:00+00:00
628,110,1930-06-16 08:00:00+00:00,1945-05-23 08:00:00+00:00
629,100,1934-03-16 20:00:00+00:00,1945-05-30 08:00:00+00:00
630,138,1932-03-18 08:00:00+00:00,1945-06-20 20:00:00+00:00
631,59,1933-02-15 12:00:00+00:00,1945-05-29 08:00:00+00:00
632,58,1932-04-25 12:00:00+00:00,1945-04-07 16:00:00+00:00
633,59,1929-08-19 16:00:00+00:00,1945-04-26 08:00:00+00:00
634,83,1932-04-26 08:00:00+00:00,1945-07-08 08:00:00+00:00
635,73,1933-04-28 08:00:00+00:00,1945-05-10 08:00:00+00:00
636,71,1933-04-28 12:00:00+00:00,1945-08-04 08:00:00+00:00
637,90,1933-08-22 12:00:00+00:00,1944-11-10 08:00:00+00:00
638,144,1934-08-28 08:00:00+00:00,1945-04-15 08:00:00+00:00
639,41,1928-04-22 08:00:00+00:00,1945-04-29 08:00:00+00:00
640,71,1932-03-14 08:00:00+00:00,1945-06-07 16:00:00+00:00
641,70,1932-02-04 08:00:00+00:00,1945-06-05 08:00:00+00:00
642,93,1932-02-04 12:00:00+00:00,1945-04-08 16:00:00+00:00
643,68,1933-09-14 08:00:00+00:00,1945-06-05 16:00:00+00:00
644,66,1934-03-20 16:00:00+00:00,1945-08-20 12:00:00+00:00
645,84,1928-06-18 08:00:00+00:00,1945-03-17 08:00:00+00:00
646,91,1932-02-29 20:00:00+00:00,1945-06-21 08:00:00+00:00
647,81,1932-05-06 08:00:00+00:00,1945-05-28 16:00:00+00:00
648,67,1932-06-24 16:00:00+00:00,1945-05-28 12:00:00+00:00
649,43,1932-09-14 12:00:00+00:00,1945-02-14 16:00:00+00:00
650,47,1933-03-18 08:00:00+00:00,1944-11-14 16:00:00+00:00
651,61,1933-03-18 12:00:00+00:00,1944-11-14 20:00:00+00:00
652,61,1932-04-15 08:00:00+00:00,1945-07-26 12:00:00+00:00
653,36,1932-04-15 12:00:00+00:00,1945-07-21 12:00:00+00:00
654,61,1932-04-15 20:00:00+00:00,1945-02-26 20:00:00+00:00
655,74,1932-05-07 16:00:00+00:00,1945-01-30 16:00:00+00:00
656,66,1926-08-30 12:00:00+00:00,1945-02-28 08:00:00+00:00
657,45,1932-07-09 12:00:00+00:00,1944-08-30 08:00:00+00:00
658,52,1932-07-07 08:00:00+00:00,1944-08-17 08:00:00+00:00
659,55,1932-07-06 12:00:00+00:00,1945-03-16 08:00:00+00:00
660,56,1933-04-17 12:00:00+00:00,1944-10-31 08:00:00+00:00
661,55,1933-06-05 08:00:00+00:00,1945-02-18 12:00:00+00:00
662,71,1933-05-01 20:00:00+00:00,1945-02-18 08:00:00+00:00
663,40,1933-06-13 20:00:00+00:00,1944-12-30 08:00:00+00:00
664,68,1933-07-04 16:00:00+00:00,1945-02-13 04:00:00+00:00
665,38,1933-05-16 16:00:00+00:00,1944-08-30 16:00:00+00:00
666,77,1933-05-16 20:00:00+00:00,1945-02-12 20:00:00+00:00
667,783,1932-05-16 12:00:00+00:00,1944-11-23 04:00:00+00:00
668,233,1930-04-03 20:00:00+00:00,1945-01-30 20:00:00+00:00
669,76,1930-04-03 16:00:00+00:00,1944-10-28 20:00:00+00:00
670,114,1928-09-30 12:00:00+00:00,1945-02-12 12:00:00+00:00
671,99,1934-05-08 16:00:00+00:00,1945-01-11 08:00:00+00:00
672,102,1934-05-08 08:00:00+00:00,1945-08-18 12:00:00+00:00
673,75,1928-10-15 16:00:00+00:00,1945-08-18 16:00:00+00:00
674,132,1926-01-21 08:00:00+00:00,1945-06-25 12:00:00+00:00
675,158,1926-01-21 12:00:00+00:00,1945-05-19 16:00:00+00:00
676,251,1927-04-25 12:00:00+00:00,1945-06-11 12:00:00+00:00
677,42,1927-04-24 12:00:00+00:00,1945-08-18 08:00:00+00:00
678,56,1929-02-07 16:00:00+00:00,1945-07-04 16:00:00+00:00
679,79,1926-02-24 16:00:00+00:00,1945-06-13 12:00:00+00:00
680,204,1926-01-25 08:00:00+00:00,1945-03-08 16:00:00+00:00
681,21,1929-01-15 20:00:00+00:00,1944-03-12 12:00:00+00:00
682,11,1929-01-15 16:00:00+00:00,1944-06-18 12:00:00+00:00
685,26,1926-02-10 08:00:00+00:00,1944-05-01 08:00:00+00:00
686,66,1926-02-06 08:00:00+00:00,1944-04-25 20:00:00+00:00
687,34,1927-01-20 08:00:00+00:00,1944-02-20 12:00:00+00:00
688,16,1929-02-22 08:00:00+00:00,1944-01-17 20:00:00+00:00
689,14,1926-01-30 08:00:00+00:00,1943-11-22 16:00:00+00:00
690,15,1928-03-05 08:00:00+00:00,1943-11-02 12:00:00+00:00
699,35,1926-03-24 08:00:00+00:00,1943-11-20 12:00:00+00:00
700,61,1929-05-05 12:00:00+00:00,1944-09-06 16:00:00+00:00
701,48,1929-05-05 08:00:00+00:00,1944-10-02 16:00:00+00:00
702,49,1926-03-25 08:00:00+00:00,1944-10-22 16:00:00+00:00
703,44,1926-03-25 16:00:00+00:00,1944-12-29 20:00:00+00:00
704,33,1926-02-06 16:00:00+00:00,1944-07-21 20:00:00+00:00
705,72,1930-07-15 08:00:00+00:00,1944-11-07 08:00:00+00:00
706,25,1936-05-02 08:00:00+00:00,1944-11-07 12:00:00+00:00
707,26,1929-01-19 16:00:00+00:00,1944-11-07 16:00:00+00:00
708,20,1930-07-03 16:00:00+00:00,1944-10-29 04:00:00+00:00
709,46,1933-05-08 16:00:00+00:00,1944-10-29 12:00:00+00:00
710,13,1936-11-13 08:00:00+00:00,1945-02-21 20:00:00+00:00
711,13,1921-03-16 07:00:00+00:00,1945-02-21 20:00:00+00:00
712,15,1930-07-04 08:00:00+00:00,1945-02-21 16:00:00+00:00
713,14,1934-11-21 08:00:00+00:00,1944-10-21 12:00:00+00:00
714,16,1930-02-17 12:00:00+00:00,1944-10-21 08:00:00+00:00
715,50,1926-03-30 08:00:00+00:00,1944-06-26 20:00:00+00:00
716,49,1929-05-08 16:00:00+00:00,1945-03-04 12:00:00+00:00
717,46,1930-08-02 12:00:00+00:00,1945-03-04 16:00:00+00:00
718,89,1928-10-13 12:00:00+00:00,1945-07-11 08:00:00+00:00
719,56,1929-10-16 08:00:00+00:00,1945-07-11 16:00:00+00:00
720,71,1929-03-07 08:00:00+00:00,1945-04-29 12:00:00+00:00
721,278,1929-10-13 20:00:00+00:00,1945-02-19 16:00:00+00:00
722,904,1926-10-25 08:00:00+00:00,1945-05-29 20:00:00+00:00
723,388,1926-08-31 08:00:00+00:00,1945-04-29 16:00:00+00:00
724,398,1929-11-12 20:00:00+00:00,1945-05-22 12:00:00+00:00
725,106,1926-08-10 08:00:00+00:00,1945-05-22 20:00:00+00:00
726,77,1933-03-20 08:00:00+00:00,1944-12-21 04:00:00+00:00
727,60,1934-03-16 12:00:00+00:00,1945-03-26 12:00:00+00:00
728,64,1934-03-16 16:00:00+00:00,1944-12-20 20:00:00+00:00
729,66,1932-03-18 12:00:00+00:00,1945-05-05 12:00:00+00:00
730,92,1934-11-15 12:00:00+00:00,1945-05-30 08:00:00+00:00
731,50,1934-11-15 08:00:00+00:00,1945-05-30 12:00:00+00:00
732,59,1935-05-05 04:00:00+00:00,1945-05-03 20:00:00+00:00
733,171,1929-06-01 04:00:00+00:00,1945-04-26 16:00:00+00:00
734,75,1932-02-04 16:00:00+00:00,1945-04-22 16:00:00+00:00
735,198,1932-04-26 12:00:00+00:00,1945-08-04 16:00:00+00:00
736,62,1933-01-27 08:00:00+00:00,1945-07-08 16:00:00+00:00
737,59,1933-01-27 16:00:00+00:00,1945-08-05 08:00:00+00:00
738,55,1933-08-22 08:00:00+00:00,1945-08-05 12:00:00+00:00
739,61,1935-05-19 08:00:00+00:00,1945-08-05 16:00:00+00:00
740,74,1935-05-08 08:00:00+00:00,1945-08-31 12:00:00+00:00
741,53,1932-03-01 16:00:00+00:00,1945-06-01 12:00:00+00:00
742,83,1932-05-07 12:00:00+00:00,1945-05-27 08:00:00+00:00
743,82,1932-03-01 08:00:00+00:00,1945-05-29 08:00:00+00:00
744,88,1932-06-23 12:00:00+00:00,1945-08-20 08:00:00+00:00
745,65,1928-06-11 08:00:00+00:00,1945-02-23 20:00:00+00:00
746,28,1933-03-17 08:00:00+00:00,1944-11-18 20:00:00+00:00
747,34,1933-03-17 12:00:00+00:00,1945-01-08 20:00:00+00:00
748,71,1935-06-06 12:00:00+00:00,1945-02-14 16:00:00+00:00
749,55,1932-08-05 16:00:00+00:00,1945-02-15 08:00:00+00:00
750,43,1930-08-09 08:00:00+00:00,1945-07-12 08:00:00+00:00
751,44,1930-08-09 12:00:00+00:00,1945-05-30 04:00:00+00:00
752,56,1930-08-09 16:00:00+00:00,1945-07-26 08:00:00+00:00
753,74,1928-04-26 08:00:00+00:00,1945-04-06 20:00:00+00:00
754,1625,1935-05-10 12:00:00+00:00,1945-02-27 12:00:00+00:00
755,88,1934-05-21 08:00:00+00:00,1945-02-27 20:00:00+00:00
756,65,1926-01-08 12:00:00+00:00,1977-07-19 17:00:00+00:00
757,31,1930-08-10 16:00:00+00:00,1945-02-14 04:00:00+00:00
758,43,1933-02-08 08:00:00+00:00,1944-11-28 08:00:00+00:00
759,50,1932-04-17 08:00:00+00:00,1945-01-28 20:00:00+00:00
760,54,1932-04-17 12:00:00+00:00,1945-03-16 04:00:00+00:00
761,52,1930-08-11 08:00:00+00:00,1945-08-13 12:00:00+00:00
762,54,1930-08-11 12:00:00+00:00,1945-05-23 08:00:00+00:00
763,46,1933-06-18 16:00:00+00:00,1945-02-13 08:00:00+00:00
764,60,1933-05-01 16:00:00+00:00,1945-01-14 20:00:00+00:00
765,73,1930-08-12 08:00:00+00:00,1945-02-12 20:00:00+00:00
766,80,1930-08-12 12:00:00+00:00,1944-12-14 08:00:00+00:00
767,60,1930-08-12 16:00:00+00:00,1944-12-14 12:00:00+00:00
768,75,1933-09-20 12:00:00+00:00,1945-02-12 16:00:00+00:00
769,118,1933-05-21 12:00:00+00:00,1945-02-12 12:00:00+00:00
770,167,1928-09-30 08:00:00+00:00,1945-02-12 08:00:00+00:00
771,873,1928-10-10 12:00:00+00:00,1945-03-23 04:00:00+00:00
772,147,1927-01-28 08:00:00+00:00,1945-02-12 04:00:00+00:00
773,88,1926-01-10 08:00:00+00:00,1945-03-17 12:00:00+00:00
774,242,1928-04-18 08:00:00+00:00,1945-06-25 08:00:00+00:00
775,593,1926-01-19 12:00:00+00:00,1945-06-22 16:00:00+00:00
776,12719,1926-01-01 08:00:00+00:00,1949-05-25 12:00:00+00:00
777,191,1927-01-07 08:00:00+00:00,1945-06-13 16:00:00+00:00
778,35,1930-06-24 08:00:00+00:00,1945-05-20 08:00:00+00:00
779,87,1928-04-17 12:00:00+00:00,1945-07-02 20:00:00+00:00
780,146,1926-02-14 08:00:00+00:00,1945-07-02 08:00:00+00:00
781,68,1929-01-26 12:00:00+00:00,1945-07-02 16:00:00+00:00
782,90,1926-03-14 08:00:00+00:00,1944-12-13 12:00:00+00:00
783,46,1926-03-14 12:00:00+00:00,1944-12-13 16:00:00+00:00
784,30,1926-02-13 08:00:00+00:00,1945-07-03 08:00:00+00:00
785,23,1927-02-28 08:00:00+00:00,1945-07-03 16:00:00+00:00
786,20,1927-06-05 08:00:00+00:00,1939-01-11 16:00:00+00:00
787,28,1927-03-23 08:00:00+00:00,1944-12-14 12:00:00+00:00
788,25,1926-02-05 16:00:00+00:00,1944-04-30 16:00:00+00:00
789,16,1926-02-05 12:00:00+00:00,1944-04-26 08:00:00+00:00
790,24,1926-01-30 12:00:00+00:00,1944-04-26 12:00:00+00:00
793,11,1929-07-29 08:00:00+00:00,1930-11-06 12:00:00+00:00
803,31,1932-02-12 20:00:00+00:00,1944-10-21 16:00:00+00:00
804,43,1929-01-19 08:00:00+00:00,1944-11-07 04:00:00+00:00
805,40,1926-02-06 08:00:00+00:00,1944-12-30 04:00:00+00:00
806,28,1927-02-22 08:00:00+00:00,1944-12-30 08:00:00+00:00
807,15,1929-03-18 12:00:00+00:00,1944-06-09 20:00:00+00:00
811,12,1930-07-10 16:00:00+00:00,1944-05-12 08:00:00+00:00
812,13,1930-08-01 12:00:00+00:00,1944-05-14 16:00:00+00:00
813,19,1930-08-01 16:00:00+00:00,1945-03-04 04:00:00+00:00
815,25,1929-01-16 12:00:00+00:00,1945-03-04 08:00:00+00:00
816,73,1926-02-02 12:00:00+00:00,1945-01-17 04:00:00+00:00
817,86,1929-03-21 08:00:00+00:00,1945-01-18 16:00:00+00:00
818,59,1928-10-13 08:00:00+00:00,1945-01-18 16:00:00+00:00
819,38,1931-10-01 20:00:00+00:00,1945-03-04 16:00:00+00:00
820,196,1929-03-07 16:00:00+00:00,1945-06-20 08:00:00+00:00
821,151,1930-10-08 08:00:00+00:00,1945-02-19 20:00:00+00:00
822,6914,1926-08-11 08:00:00+00:00,1945-06-19 16:00:00+00:00
823,5157,1926-08-14 08:00:00+00:00,1945-07-12 12:00:00+00:00
824,404,1926-08-16 08:00:00+00:00,1945-07-12 16:00:00+00:00
825,133,1929-09-13 08:00:00+00:00,1945-05-22 16:00:00+00:00
826,60,1934-03-16 08:00:00+00:00,1945-03-27 04:00:00+00:00
827,87,1930-07-15 12:00:00+00:00,1945-06-20 16:00:00+00:00
828,67,1933-11-27 12:00:00+00:00,1945-05-28 08:00:00+00:00
829,91,1932-02-03 16:00:00+00:00,1945-02-22 16:00:00+00:00
830,54,1935-05-04 16:00:00+00:00,1945-05-30 16:00:00+00:00
831,40,1932-09-30 16:00:00+00:00,1945-05-09 16:00:00+00:00
832,59,1935-05-04 20:00:00+00:00,1945-05-28 16:00:00+00:00
