stationno,datetime,datetime,datetime
089,32,1929-01-22 08:00:00+00:00,1944-12-27 12:00:00+00:00
090,117,1931-03-26 16:00:00+00:00,1945-03-06 20:00:00+00:00
091,38,1931-06-14 12:00:00+00:00,1945-03-05 12:00:00+00:00
092,13,1927-02-26 08:00:00+00:00,1943-07-30 16:00:00+00:00
093,18,1926-02-10 16:00:00+00:00,1944-04-27 08:00:00+00:00
094,322,1926-02-01 08:00:00+00:00,1944-12-15 16:00:00+00:00
095,38,1929-01-19 12:00:00+00:00,1945-07-06 08:00:00+00:00
102,146,1928-11-04 08:00:00+00:00,1944-06-19 08:00:00+00:00
103,24,1940-02-06 12:00:00+00:00,1945-03-03 08:00:00+00:00
104,67,1935-10-24 12:00:00+00:00,1944-10-26 16:00:00+00:00
105,20,1936-11-23 16:00:00+00:00,1944-10-26 12:00:00+00:00
107,42,1926-03-27 08:00:00+00:00,1942-11-07 04:00:00+00:00
108,36,1926-03-27 12:00:00+00:00,1945-03-03 08:00:00+00:00
109,51,1927-02-21 08:00:00+00:00,1945-03-03 12:00:00+00:00
110,33,1916-02-17 01:00:00+00:00,1944-10-18 08:00:00+00:00
111,18,1929-01-18 16:00:00+00:00,1944-10-06 16:00:00+00:00
114,259,1931-09-23 16:00:00+00:00,1944-10-17 16:00:00+00:00
115,42,1931-09-28 08:00:00+00:00,1944-11-05 16:00:00+00:00
116,23,1930-04-17 20:00:00+00:00,1945-01-16 16:00:00+00:00
117,86,1926-03-31 16:00:00+00:00,1944-10-28 12:00:00+00:00
118,110,1929-04-25 16:00:00+00:00,1945-01-15 20:00:00+00:00
119,136,1932-03-12 20:00:00+00:00,1945-02-20 08:00:00+00:00
120,94,1929-10-15 12:00:00+00:00,1945-01-05 04:00:00+00:00
121,2577,1928-10-01 08:00:00+00:00,1945-02-01 08:00:00+00:00
122,1361,1929-09-25 08:00:00+00:00,1945-01-04 12:00:00+00:00
123,143,1929-02-22 16:00:00+00:00,1945-01-21 04:00:00+00:00
124,80,1932-02-02 12:00:00+00:00,1945-01-03 20:00:00+00:00
125,131,1929-08-14 16:00:00+00:00,1945-06-19 16:00:00+00:00
126,98,1932-05-11 12:00:00+00:00,1945-07-06 16:00:00+00:00
127,98,1932-02-02 08:00:00+00:00,1945-06-19 08:00:00+00:00
128,77,1928-06-21 08:00:00+00:00,1945-06-18 08:00:00+00:00
129,78,1932-03-03 08:00:00+00:00,1945-06-23 16:00:00+00:00
130,77,1931-03-11 05:00:00+00:00,1945-05-31 08:00:00+00:00
131,101,1928-04-20 08:00:00+00:00,1945-06-23 12:00:00+00:00
132,94,1932-06-20 08:00:00+00:00,2010-11-19 20:00:00+00:00
133,66,1932-06-20 12:00:00+00:00,1945-05-12 16:00:00+00:00
134,76,1933-03-14 08:00:00+00:00,1945-06-10 12:00:00+00:00
135,65,1933-01-26 08:00:00+00:00,1945-04-14 16:00:00+00:00
136,49,1932-03-16 16:00:00+00:00,1945-04-09 12:00:00+00:00
137,57,1930-08-06 16:00:00+00:00,1944-12-24 12:00:00+00:00
138,60,1933-05-08 08:00:00+00:00,1945-03-16 12:00:00+00:00
139,92,1932-03-16 08:00:00+00:00,1945-04-28 16:00:00+00:00
140,102,1932-09-28 16:00:00+00:00,1945-07-16 08:00:00+00:00
141,72,1932-09-28 08:00:00+00:00,1945-03-14 16:00:00+00:00
142,68,1929-04-30 16:00:00+00:00,1945-07-16 12:00:00+00:00
143,57,1916-05-07 07:00:00+00:00,1945-08-17 12:00:00+00:00
144,70,1926-01-01 08:00:00+00:00,1945-08-19 12:00:00+00:00
145,73,1932-09-27 12:00:00+00:00,1945-07-28 16:00:00+00:00
146,142,1928-04-24 08:00:00+00:00,1945-07-28 08:00:00+00:00
147,64,1932-02-07 08:00:00+00:00,1945-08-07 08:00:00+00:00
148,72,1925-06-02 07:00:00+00:00,1945-08-07 12:00:00+00:00
149,66,1932-09-26 16:00:00+00:00,1945-04-07 12:00:00+00:00
150,60,1932-09-26 08:00:00+00:00,1945-08-09 16:00:00+00:00
151,74,1932-09-25 16:00:00+00:00,1945-07-18 12:00:00+00:00
152,73,1933-05-29 12:00:00+00:00,1945-07-18 16:00:00+00:00
153,59,1933-05-15 08:00:00+00:00,1945-07-24 08:00:00+00:00
154,50,1932-09-25 08:00:00+00:00,1945-07-19 08:00:00+00:00
155,90,1932-02-27 16:00:00+00:00,1945-04-27 04:00:00+00:00
156,159,1932-02-23 16:00:00+00:00,1945-05-16 08:00:00+00:00
157,1219,1928-05-15 08:00:00+00:00,1945-05-16 12:00:00+00:00
158,4014,1928-04-28 08:00:00+00:00,1945-07-21 08:00:00+00:00
159,363,1932-02-10 08:00:00+00:00,1945-06-29 20:00:00+00:00
160,126,1932-04-27 12:00:00+00:00,1945-06-29 12:00:00+00:00
161,124,1932-04-27 08:00:00+00:00,1945-05-20 08:00:00+00:00
162,508,1930-04-05 12:00:00+00:00,1945-07-14 16:00:00+00:00
163,128,1932-04-26 16:00:00+00:00,1945-08-14 08:00:00+00:00
164,107,1932-04-26 08:00:00+00:00,1945-08-14 12:00:00+00:00
165,58,1932-04-25 20:00:00+00:00,1945-03-27 12:00:00+00:00
166,46,1932-09-22 16:00:00+00:00,1945-03-30 16:00:00+00:00
167,63,1932-04-25 16:00:00+00:00,1945-05-25 08:00:00+00:00
168,74,1932-04-25 08:00:00+00:00,1944-12-12 16:00:00+00:00
169,80,1928-03-15 08:00:00+00:00,1945-08-17 08:00:00+00:00
170,177,1927-04-29 08:00:00+00:00,1945-03-19 04:00:00+00:00
171,2014,1926-06-14 08:00:00+00:00,1945-03-29 20:00:00+00:00
172,239,1926-06-21 08:00:00+00:00,1945-03-04 16:00:00+00:00
173,91,1926-06-24 12:00:00+00:00,1945-01-18 08:00:00+00:00
174,1006,1926-01-20 08:00:00+00:00,1945-06-26 16:00:00+00:00
175,129,1928-02-16 08:00:00+00:00,1944-12-27 16:00:00+00:00
176,122,1928-09-21 08:00:00+00:00,1944-12-14 16:00:00+00:00
177,71,1927-03-19 12:00:00+00:00,1945-01-28 16:00:00+00:00
178,467,1927-01-31 08:00:00+00:00,1945-02-14 04:00:00+00:00
179,270,1926-02-02 08:00:00+00:00,1945-08-30 12:00:00+00:00
180,56,1929-01-16 20:00:00+00:00,1945-02-03 16:00:00+00:00
181,26,1927-04-12 08:00:00+00:00,1945-01-31 16:00:00+00:00
184,24,1926-01-28 16:00:00+00:00,1939-04-19 20:00:00+00:00
186,54,1926-01-28 12:00:00+00:00,1944-06-26 16:00:00+00:00
187,40,1929-03-03 20:00:00+00:00,1945-03-07 08:00:00+00:00
188,12,1933-02-25 08:00:00+00:00,1945-03-07 04:00:00+00:00
189,26,1931-02-18 12:00:00+00:00,1944-02-22 12:00:00+00:00
190,34,1930-06-14 08:00:00+00:00,1944-12-27 16:00:00+00:00
191,29,1930-02-23 16:00:00+00:00,1944-07-20 04:00:00+00:00
192,31,1930-02-23 16:00:00+00:00,1944-06-12 16:00:00+00:00
193,21,1926-02-10 08:00:00+00:00,1944-06-12 08:00:00+00:00
202,19,1929-01-21 08:00:00+00:00,1944-11-05 20:00:00+00:00
203,43,1930-07-02 08:00:00+00:00,1944-12-17 08:00:00+00:00
204,28,1942-05-09 16:00:00+00:00,1944-06-28 12:00:00+00:00
205,37,1935-10-24 08:00:00+00:00,1944-09-20 16:00:00+00:00
206,17,1938-05-27 16:00:00+00:00,1944-10-20 16:00:00+00:00
207,12,1936-11-24 08:00:00+00:00,1945-03-03 04:00:00+00:00
208,12,1929-03-02 16:00:00+00:00,1944-10-18 16:00:00+00:00
209,67,1929-03-02 12:00:00+00:00,1944-10-14 04:00:00+00:00
210,53,1926-02-04 16:00:00+00:00,1945-01-12 12:00:00+00:00
211,20,1929-05-07 08:00:00+00:00,1945-01-12 16:00:00+00:00
212,18,1929-03-19 16:00:00+00:00,1944-11-05 08:00:00+00:00
213,17,1936-04-30 08:00:00+00:00,1944-10-27 12:00:00+00:00
214,226,1928-10-08 08:00:00+00:00,1944-10-27 16:00:00+00:00
215,46,1932-11-26 12:00:00+00:00,1944-10-27 20:00:00+00:00
216,41,1931-04-06 16:00:00+00:00,1944-11-09 04:00:00+00:00
217,685,1926-01-09 12:00:00+00:00,1945-04-14 20:00:00+00:00
218,687,1926-02-01 08:00:00+00:00,1945-02-21 12:00:00+00:00
219,412,1928-09-14 08:00:00+00:00,1945-02-21 20:00:00+00:00
220,227,1929-04-16 12:00:00+00:00,1945-02-02 16:00:00+00:00
221,149,1926-10-28 16:00:00+00:00,1945-02-14 20:00:00+00:00
222,159,1928-06-22 08:00:00+00:00,1945-01-29 12:00:00+00:00
223,141,1929-09-17 08:00:00+00:00,1945-03-26 12:00:00+00:00
224,116,1929-03-14 16:00:00+00:00,1945-06-24 12:00:00+00:00
225,174,1926-08-18 08:00:00+00:00,1945-05-23 12:00:00+00:00
226,96,1932-03-03 20:00:00+00:00,1945-06-24 08:00:00+00:00
227,79,1932-07-09 12:00:00+00:00,1945-03-26 12:00:00+00:00
228,69,1932-04-23 08:00:00+00:00,1945-06-17 08:00:00+00:00
229,83,1928-06-21 08:00:00+00:00,1945-03-25 16:00:00+00:00
230,63,1932-01-10 07:00:00+00:00,1945-04-23 16:00:00+00:00
231,70,1932-03-12 08:00:00+00:00,1945-06-03 16:00:00+00:00
232,76,1932-03-12 12:00:00+00:00,1945-04-15 16:00:00+00:00
233,60,1932-03-12 16:00:00+00:00,1945-06-10 16:00:00+00:00
234,73,1932-03-12 16:00:00+00:00,1945-05-31 12:00:00+00:00
235,92,1924-07-27 08:00:00+00:00,1945-05-31 16:00:00+00:00
236,78,1929-02-21 12:00:00+00:00,1945-05-28 08:00:00+00:00
237,62,1930-08-06 08:00:00+00:00,1945-06-21 20:00:00+00:00
238,61,1930-08-06 12:00:00+00:00,1945-04-28 08:00:00+00:00
239,64,1933-05-29 08:00:00+00:00,1945-07-30 20:00:00+00:00
240,79,1933-03-31 08:00:00+00:00,1945-04-16 08:00:00+00:00
241,107,1926-04-02 08:00:00+00:00,1945-05-31 16:00:00+00:00
242,66,1933-04-10 16:00:00+00:00,1945-07-10 08:00:00+00:00
243,53,1933-05-07 12:00:00+00:00,1945-07-10 12:00:00+00:00
244,68,1933-05-07 16:00:00+00:00,1945-08-18 08:00:00+00:00
245,71,1933-05-01 08:00:00+00:00,1945-04-03 16:00:00+00:00
