datetime,sourceno,stationno,latitude,longitude,year,month,day,hour,pressure,drybulbF,rh,watertempF,datetime
1943-08-13 16:00:00+00:00,L13,142,,,43.0,8.0,13.0,16.0,1021.0,75.0,72.0,,1943-08-13 16:00:00+00:00
1943-08-20 16:00:00+00:00,(00,142,,,43.0,8.0,20.0,16.0,1009.6,79.0,83.0,79.0,1943-08-20 16:00:00+00:00
1943-09-06 16:00:00+00:00,L05,142,,,43.0,9.0,6.0,16.0,1018.0,54.0,88.0,,1943-09-06 16:00:00+00:00
1944-01-29 08:00:00+00:00,P03,142,,,44.0,1.0,29.0,8.0,1016.4,68.0,71.0,62.0,1944-01-29 08:00:00+00:00
1944-01-29 12:00:00+00:00,P03,142,,,44.0,1.0,29.0,12.0,1017.0,68.0,78.0,64.0,1944-01-29 12:00:00+00:00
1944-01-29 16:00:00+00:00,P03,142,,,44.0,1.0,29.0,16.0,1015.6,70.0,74.0,64.0,1944-01-29 16:00:00+00:00
1944-02-26 12:00:00+00:00,N13,142,,,44.0,2.0,26.0,12.0,1028.7,67.0,80.0,63.0,1944-02-26 12:00:00+00:00
1944-04-01 08:00:00+00:00,N20,142,,,44.0,4.0,1.0,8.0,1008.6,82.0,86.0,85.0,1944-04-01 08:00:00+00:00
1944-04-25 04:00:00+00:00,R20,142,,,44.0,4.0,25.0,4.0,1011.0,84.0,76.0,,1944-04-25 04:00:00+00:00
1944-04-25 12:00:00+00:00, 70,142,,,44.0,4.0,25.0,12.0,1012.2,86.0,66.0,86.0,1944-04-25 12:00:00+00:00
1944-04-25 12:00:00+00:00,N20,142,,,44.0,4.0,25.0,12.0,1012.7,84.0,71.0,85.0,1944-04-25 12:00:00+00:00
1944-04-25 20:00:00+00:00,N20,142,,,44.0,4.0,25.0,20.0,1011.3,86.0,70.0,86.0,1944-04-25 20:00:00+00:00
1944-04-25 20:00:00+00:00, 70,142,,,44.0,4.0,25.0,20.0,1011.6,84.0,73.0,85.0,1944-04-25 20:00:00+00:00
1944-04-27 08:00:00+00:00,N20,142,,,44.0,4.0,27.0,8.0,1011.8,84.0,73.0,86.0,1944-04-27 08:00:00+00:00
1944-09-25 04:00:00+00:00,R20,142,,,44.0,9.0,25.0,4.0,1008.5,77.0,83.0,,1944-09-25 04:00:00+00:00
1944-09-27 08:00:00+00:00,Q13,142,,,44.0,9.0,27.0,8.0,1023.5,72.0,75.0,73.0,1944-09-27 08:00:00+00:00
1944-11-13 08:00:00+00:00,(00,142,,,44.0,11.0,13.0,8.0,1009.2,83.0,80.0,81.0,1944-11-13 08:00:00+00:00
1944-11-27 08:00:00+00:00,R21,142,,,44.0,11.0,27.0,8.0,1005.3,84.0,80.0,83.0,1944-11-27 08:00:00+00:00
1945-02-10 20:00:00+00:00,N21,142,,,45.0,2.0,10.0,20.0,1011.5,81.0,76.0,84.0,1945-02-10 20:00:00+00:00
1945-02-10 20:00:00+00:00,N21,142,,,45.0,2.0,10.0,20.0,1011.7,82.0,84.0,82.0,1945-02-10 20:00:00+00:00
1945-02-15 16:00:00+00:00,J22,142,,,45.0,2.0,15.0,16.0,1009.9,80.0,72.0,79.0,1945-02-15 16:00:00+00:00
1945-02-26 04:00:00+00:00,N23,142,,,45.0,2.0,26.0,4.0,1003.8,65.0,95.0,62.0,1945-02-26 04:00:00+00:00
1945-03-14 20:00:00+00:00,N21,142,,,45.0,3.0,14.0,20.0,1010.7,80.0,85.0,82.0,1945-03-14 20:00:00+00:00
1945-04-28 12:00:00+00:00,N20,142,,,45.0,4.0,28.0,12.0,1006.5,86.0,73.0,84.0,1945-04-28 12:00:00+00:00
1945-05-31 12:00:00+00:00,N13,142,,,45.0,5.0,31.0,12.0,1025.0,68.0,80.0,68.0,1945-05-31 12:00:00+00:00
1945-07-16 12:00:00+00:00,J12,142,,,45.0,7.0,16.0,12.0,1017.9,75.0,68.0,,1945-07-16 12:00:00+00:00
