
1941, 12, 4
1942, 1, 8039
1942, 2, 8122
1942, 3, 9187
1942, 4, 8815
1942, 5, 9945
1942, 6, 10026
1942, 7, 9654
1942, 8, 10372
1942, 9, 9411
1942, 10, 9795
1942, 11, 9310
1942, 12, 7234
1943, 1, 9077
1943, 2, 8640
1943, 3, 9382
1943, 4, 9180
1943, 5, 9748
1943, 6, 10023
1943, 7, 10520
1943, 8, 10745
1943, 9, 11947
1943, 10, 11389
1943, 11, 11491
1943, 12, 12858
1944, 1, 15861
1944, 2, 15835
1944, 3, 16134
1944, 4, 15635
1944, 5, 16883
1944, 6, 19361
1944, 7, 17925
1944, 8, 18650
1944, 9, 18209
1944, 10, 19477
1944, 11, 18069
1944, 12, 17262
1945, 1, 18239
1945, 2, 17391
1945, 3, 18562
1945, 4, 18292
1945, 5, 17725
1945, 6, 17581
1945, 7, 8843
1945, 8, 8294
1945, 9, 7783
1945, 10, 7544
1945, 11, 7054
1945, 12, 6462
1946, 1, 28
