,time,pressure,topside_temp,topside_temp_ADC,underside_temp,underside_temp_ADC,temp_ref,par,fluor,tilt,datetime
0,10800,0.03814697265625,20.144960234143866,10571,20.060312085145426,10620,8527,328.60952054794524,0.857740582,13,2018-08-30 13:00:00
1,14400,0.037841796875,20.27304161199089,10510,20.152043014591356,10576,8527,451.036095890411,0.376569036,14,2018-08-30 14:00:00
2,18000,0.037841796875,20.62158280457868,10346,20.22322070537149,10542,8527,500.67739726027395,0.73221757,14,2018-08-30 15:00:00
3,21600,0.0372314453125,20.27936226645801,10507,20.269414687175185,10520,8527,187.41965753424657,0.690376566,13,2018-08-30 16:00:00
4,25200,0.0372314453125,20.31521771549791,10490,20.284135579496365,10513,8527,98.97246575342466,0.753138072,13,2018-08-30 17:00:00
5,28800,0.0372314453125,20.346909226947048,10475,20.330473168572325,10491,8527,53.65369863013699,0.31380753,13,2018-08-30 18:00:00
6,32400,0.0372314453125,20.298336423136277,10498,20.32204002141532,10495,8527,27.71849315068493,0.606694558,14,2018-08-30 19:00:00
7,36000,0.0372314453125,20.296227279626578,10499,20.311503673795983,10500,8527,1.0467123287671234,0.334728032,14,2018-08-30 20:00:00
8,39600,0.037841796875,20.27304161199089,10510,20.298867509020056,10506,8527,0.0,0.292887028,13,2018-08-30 21:00:00
9,43200,0.037841796875,20.277255155987064,10508,20.290447911168997,10510,8527,0.0,0.543933052,14,2018-08-30 22:00:00
10,46800,0.03875732421875,20.264617230498686,10514,20.27782527506463,10516,8527,0.0,0.167364016,13,2018-08-30 23:00:00
11,50400,0.03875732421875,20.24567555294766,10523,20.263109108174945,10523,8527,0.0,0.292887028,13,2018-08-31 00:00:00
12,54000,0.03875732421875,20.222549357959224,10534,20.24210511610363,10533,8527,0.0,0.564853554,14,2018-08-31 01:00:00
13,57600,0.0390625,20.209946521976235,10540,20.231611535555885,10538,8527,0.0,0.251046024,14,2018-08-31 02:00:00
14,61200,0.0396728515625,20.188959726846633,10550,20.20644979067754,10550,8527,0.0,0.376569036,14,2018-08-31 03:00:00
15,64800,0.0396728515625,20.15123985053151,10568,20.16876751193911,10568,8527,0.0,0.52301255,14,2018-08-31 04:00:00
16,68400,0.0396728515625,20.115681851690965,10585,20.131157405778254,10586,8527,0.0,0.31380753,14,2018-08-31 05:00:00
17,72000,0.040283203125,20.04684059921931,10618,20.083204660964327,10609,8527,0.019383561643835617,0.083682008,14,2018-08-31 06:00:00
18,75600,0.04058837890625,20.02810749254678,10627,20.041601637503277,10629,8527,7.501438356164384,0.460251044,14,2018-08-31 07:00:00
19,79200,0.04119873046875,20.02186709075187,10630,20.014606891978588,10642,8527,59.29431506849315,0.20920502000000002,14,2018-08-31 08:00:00
20,82800,0.0250244140625,25.19709925088307,8440,20.09361921054807,10604,8527,320.6041095890411,0.774058574,16,2018-08-31 09:00:00
