,time,pressure,topside_temp,topside_temp_ADC,underside_temp,underside_temp_ADC,temp_ref,par,fluor,tilt,datetime
0,64800,0.78887939453125,9.760190416739476,17145,-3.1910778385085905,32767,8486,0.8141095890410959,-10.711297024,4,2018-08-30 09:00:00
1,68400,0.78887939453125,9.765054321347066,17141,-3.1910778385085905,32767,8486,0.7753424657534246,-10.711297024,4,2018-08-30 10:00:00
2,72000,0.78887939453125,9.783305301100484,17126,-3.1910778385085905,32767,8486,0.9304109589041096,-10.711297024,4,2018-08-30 11:00:00
3,75600,0.7879638671875,9.766270496286722,17140,-3.1910778385085905,32767,8486,1.356849315068493,-10.711297024,3,2018-08-30 12:00:00
4,79200,0.78765869140625,9.756543322916116,17148,-3.1910778385085905,32767,8486,1.6282191780821917,-10.711297024,3,2018-08-30 13:00:00
5,82800,0.7867431640625,9.790610710552244,17120,-3.1910778385085905,32767,8486,1.6476027397260273,-10.711297024,3,2018-08-30 14:00:00
6,86400,0.78704833984375,9.74560633099918,17157,-3.1910778385085905,32767,8486,1.066095890410959,-10.711297024,4,2018-08-30 15:00:00
7,90000,0.78704833984375,9.741962095990914,17160,-3.1910778385085905,32767,8486,0.2326027397260274,-10.711297024,4,2018-08-30 16:00:00
8,93600,0.78704833984375,9.741962095990914,17160,-3.1910778385085905,32767,8487,0.019383561643835617,-10.711297024,3,2018-08-30 17:00:00
9,97200,0.7843017578125,9.743176761642871,17159,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-30 18:00:00
10,100800,0.78369140625,9.765054321347066,17141,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-30 19:00:00
11,104400,0.7830810546875,9.762622210032816,17143,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-30 20:00:00
12,108000,0.782470703125,9.763838225932432,17142,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-30 21:00:00
13,111600,0.78216552734375,9.735889957599056,17165,-3.1910778385085905,32767,8487,0.019383561643835617,-10.711297024,3,2018-08-30 22:00:00
14,115200,0.78216552734375,9.752896944195754,17151,-3.1910778385085905,32767,8487,0.019383561643835617,-10.711297024,3,2018-08-30 23:00:00
15,118800,0.78155517578125,9.758974639326084,17146,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-31 00:00:00
16,122400,0.78033447265625,9.752896944195754,17151,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-31 01:00:00
17,126000,0.7806396484375,9.751681643487984,17152,-3.1910778385085905,32767,8487,0.019383561643835617,-10.711297024,3,2018-08-31 02:00:00
19,64800,0.78887939453125,9.760190416739476,17145,-3.1910778385085905,32767,8486,0.8141095890410959,-10.711297024,4,2018-08-30 09:00:00
20,68400,0.78887939453125,9.765054321347066,17141,-3.1910778385085905,32767,8486,0.7753424657534246,-10.711297024,4,2018-08-30 10:00:00
21,72000,0.78887939453125,9.783305301100484,17126,-3.1910778385085905,32767,8486,0.9304109589041096,-10.711297024,4,2018-08-30 11:00:00
22,75600,0.7879638671875,9.766270496286722,17140,-3.1910778385085905,32767,8486,1.356849315068493,-10.711297024,3,2018-08-30 12:00:00
23,79200,0.78765869140625,9.756543322916116,17148,-3.1910778385085905,32767,8486,1.6282191780821917,-10.711297024,3,2018-08-30 13:00:00
24,82800,0.7867431640625,9.790610710552244,17120,-3.1910778385085905,32767,8486,1.6476027397260273,-10.711297024,3,2018-08-30 14:00:00
25,86400,0.78704833984375,9.74560633099918,17157,-3.1910778385085905,32767,8486,1.066095890410959,-10.711297024,4,2018-08-30 15:00:00
26,90000,0.78704833984375,9.741962095990914,17160,-3.1910778385085905,32767,8486,0.2326027397260274,-10.711297024,4,2018-08-30 16:00:00
27,93600,0.78704833984375,9.741962095990914,17160,-3.1910778385085905,32767,8487,0.019383561643835617,-10.711297024,3,2018-08-30 17:00:00
28,97200,0.7843017578125,9.743176761642871,17159,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-30 18:00:00
29,100800,0.78369140625,9.765054321347066,17141,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-30 19:00:00
30,104400,0.7830810546875,9.762622210032816,17143,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-30 20:00:00
31,108000,0.782470703125,9.763838225932432,17142,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-30 21:00:00
32,111600,0.78216552734375,9.735889957599056,17165,-3.1910778385085905,32767,8487,0.019383561643835617,-10.711297024,3,2018-08-30 22:00:00
33,115200,0.78216552734375,9.752896944195754,17151,-3.1910778385085905,32767,8487,0.019383561643835617,-10.711297024,3,2018-08-30 23:00:00
34,118800,0.78155517578125,9.758974639326084,17146,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-31 00:00:00
35,122400,0.78033447265625,9.752896944195754,17151,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-31 01:00:00
36,126000,0.7806396484375,9.751681643487984,17152,-3.1910778385085905,32767,8487,0.019383561643835617,-10.711297024,3,2018-08-31 02:00:00
37,129600,0.77972412109375,9.750466422196723,17153,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-31 03:00:00
38,133200,0.77880859375,9.74560633099918,17157,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-31 04:00:00
39,136800,0.7781982421875,9.740747509676567,17161,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-31 05:00:00
40,140400,0.7781982421875,9.735889957599056,17165,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-31 06:00:00
41,144000,0.77728271484375,9.740747509676567,17161,-3.1910778385085905,32767,8487,0.019383561643835617,-10.711297024,3,2018-08-31 07:00:00
42,147600,0.77789306640625,9.741962095990914,17160,-3.1910778385085905,32767,8486,0.09691780821917807,-10.711297024,3,2018-08-31 08:00:00
43,151200,0.77911376953125,9.748036217824165,17155,-3.1910778385085905,32767,8486,0.3682876712328767,-10.711297024,3,2018-08-31 09:00:00
44,154800,0.77911376953125,9.746821234723143,17156,-3.1910778385085905,32767,8486,0.8334931506849315,-10.711297024,3,2018-08-31 10:00:00
45,158400,0.77972412109375,9.743176761642871,17159,-3.1910778385085905,32767,8486,0.8141095890410959,-10.711297024,3,2018-08-31 11:00:00
46,162000,0.7794189453125,9.744391506642387,17158,-3.1910778385085905,32767,8486,0.9691780821917809,-10.711297024,3,2018-08-31 12:00:00
47,165600,0.7794189453125,9.737104226661131,17164,-3.1910778385085905,32767,8486,0.7171917808219178,-10.711297024,3,2018-08-31 13:00:00
48,169200,0.77911376953125,9.74560633099918,17157,-3.1910778385085905,32767,8486,0.503972602739726,-10.711297024,3,2018-08-31 14:00:00
49,172800,0.7781982421875,9.738318575021594,17163,-3.1910778385085905,32767,8486,0.2326027397260274,-10.711297024,3,2018-08-31 15:00:00
50,176400,0.77789306640625,9.727392293690684,17172,-3.1910778385085905,32767,8486,0.09691780821917807,-10.711297024,3,2018-08-31 16:00:00
51,180000,0.77789306640625,9.672856996050939,17217,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-31 17:00:00
52,183600,0.77850341796875,9.67648770961091,17214,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-31 18:00:00
53,187200,0.77911376953125,9.684962133345834,17207,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-31 19:00:00
