,time,pressure,topside_temp,topside_temp_ADC,par,fluor,tilt,datetime,id,dep_lat,dep_lon
36,1556637875.25,2.83050537109375,-1.7301431283801776,30321,-0.07358904109589041,0.21184400578,9,2019-04-30 15:24:35.250,300434063921240,71.222833,164.2613
37,1556637875.5,2.80426025390625,-1.7301431283801776,30321,-0.07358904109589041,0.17332691381999998,9,2019-04-30 15:24:35.500,300434063921240,71.222833,164.2613
38,1556637875.75,2.77801513671875,-1.7301431283801776,30321,-0.07358904109589041,0.15406836784,7,2019-04-30 15:24:35.750,300434063921240,71.222833,164.2613
39,1556637876.0,2.75115966796875,-1.7301431283801776,30321,-0.07358904109589041,0.15406836784,6,2019-04-30 15:24:36.000,300434063921240,71.222833,164.2613
40,1556637876.25,2.72430419921875,-1.7301431283801776,30321,-0.07358904109589041,0.15406836784,5,2019-04-30 15:24:36.250,300434063921240,71.222833,164.2613
41,1556637876.5,2.69775390625,-1.7301431283801776,30321,-0.07358904109589041,0.1925854598,6,2019-04-30 15:24:36.500,300434063921240,71.222833,164.2613
42,1556637876.75,2.6715087890625,-1.7301431283801776,30321,-0.07358904109589041,0.21184400578,6,2019-04-30 15:24:36.750,300434063921240,71.222833,164.2613
43,1556637877.0,2.6446533203125,-1.7301431283801776,30321,-0.07358904109589041,0.36591237362,5,2019-04-30 15:24:37.000,300434063921240,71.222833,164.2613
44,1556637877.25,2.61749267578125,-1.7301431283801776,30321,-0.07358904109589041,0.21184400578,6,2019-04-30 15:24:37.250,300434063921240,71.222833,164.2613
45,1556637877.5,2.5909423828125,-1.7301431283801776,30321,-0.07358904109589041,0.26961964372,7,2019-04-30 15:24:37.500,300434063921240,71.222833,164.2613
46,1556637877.75,2.564697265625,-1.7301431283801776,30321,-0.07358904109589041,0.1925854598,8,2019-04-30 15:24:37.750,300434063921240,71.222833,164.2613
47,1556637878.0,2.53753662109375,-1.7301431283801776,30321,-0.07358904109589041,0.1925854598,7,2019-04-30 15:24:38.000,300434063921240,71.222833,164.2613
48,1556637878.25,2.5103759765625,-1.7301431283801776,30321,-0.07358904109589041,0.1925854598,7,2019-04-30 15:24:38.250,300434063921240,71.222833,164.2613
49,1556637878.5,2.48382568359375,-1.7301431283801776,30321,-0.07358904109589041,0.4814636495,7,2019-04-30 15:24:38.500,300434063921240,71.222833,164.2613
50,1556637878.75,2.4578857421875,-1.7301431283801776,30321,-0.07358904109589041,0.25036109774,9,2019-04-30 15:24:38.750,300434063921240,71.222833,164.2613
51,1556637879.0,2.43316650390625,-1.7301431283801776,30321,-0.07358904109589041,0.23110255176,8,2019-04-30 15:24:39.000,300434063921240,71.222833,164.2613
52,1556637879.25,2.40692138671875,-1.7301431283801776,30321,-0.07358904109589041,0.15406836784,6,2019-04-30 15:24:39.250,300434063921240,71.222833,164.2613
53,1556637879.5,2.38006591796875,-1.7301431283801776,30321,-0.07358904109589041,0.21184400578,5,2019-04-30 15:24:39.500,300434063921240,71.222833,164.2613
54,1556637879.75,2.352294921875,-1.7301431283801776,30321,-0.07358904109589041,0.26961964372,4,2019-04-30 15:24:39.750,300434063921240,71.222833,164.2613
55,1556637880.0,2.32513427734375,-1.7301431283801776,30321,-0.07358904109589041,0.17332691381999998,5,2019-04-30 15:24:40.000,300434063921240,71.222833,164.2613
56,1556637880.25,2.29949951171875,-1.7301431283801776,30321,-0.07358904109589041,0.21184400578,9,2019-04-30 15:24:40.250,300434063921240,71.222833,164.2613
57,1556637880.5,2.274169921875,-1.7301431283801776,30321,-0.07358904109589041,0.26961964372,11,2019-04-30 15:24:40.500,300434063921240,71.222833,164.2613
58,1556637880.75,2.247314453125,-1.7301431283801776,30321,-0.07358904109589041,0.26961964372,10,2019-04-30 15:24:40.750,300434063921240,71.222833,164.2613
59,1556637881.0,2.22015380859375,-1.7301431283801776,30321,-0.07358904109589041,0.1925854598,8,2019-04-30 15:24:41.000,300434063921240,71.222833,164.2613
60,1556637881.25,2.193603515625,-1.7301431283801776,30321,-0.07358904109589041,0.25036109774,6,2019-04-30 15:24:41.250,300434063921240,71.222833,164.2613
61,1556637881.5,2.16796875,-1.7301431283801776,30321,-0.07358904109589041,0.15406836784,6,2019-04-30 15:24:41.500,300434063921240,71.222833,164.2613
62,1556637881.75,2.1417236328125,-1.7301431283801776,30321,-0.07358904109589041,0.15406836784,7,2019-04-30 15:24:41.750,300434063921240,71.222833,164.2613
63,1556637882.0,2.11578369140625,-1.7301431283801776,30321,-0.07358904109589041,0.17332691381999998,7,2019-04-30 15:24:42.000,300434063921240,71.222833,164.2613
64,1556637882.25,2.08984375,-1.7301431283801776,30321,-0.07358904109589041,0.25036109774,7,2019-04-30 15:24:42.250,300434063921240,71.222833,164.2613
65,1556637882.5,2.06390380859375,-1.7301431283801776,30321,-0.07358904109589041,0.13480982186,7,2019-04-30 15:24:42.500,300434063921240,71.222833,164.2613
