,time,pressure,topside_temp,topside_temp_ADC,par,fluor,tilt,datetime
2,1551453709.0,6.67266845703125,1.2054354654222266,26087,106.96038356164384,0,9,2019-03-01 15:21:49.000
3,1551453709.0,6.67022705078125,1.2061950574688467,26086,106.96038356164384,0,9,2019-03-01 15:21:49.000
4,1551453709.25,6.64276123046875,1.2046759058511611,26088,105.8756712328767,0,12,2019-03-01 15:21:49.250
5,1551453709.5,6.61376953125,1.2046759058511611,26088,105.8756712328767,0,6,2019-03-01 15:21:49.500
6,1551453709.75,6.58447265625,1.2039163787528082,26089,105.8756712328767,0,9,2019-03-01 15:21:49.750
7,1551453710.0,6.5557861328125,1.2039163787528082,26089,105.8756712328767,0,18,2019-03-01 15:21:50.000
8,1551453710.25,6.52984619140625,1.2039163787528082,26089,105.8756712328767,0,21,2019-03-01 15:21:50.250
9,1551453710.5,6.5020751953125,1.2039163787528082,26089,105.8756712328767,0,16,2019-03-01 15:21:50.500
10,1551453710.75,6.473388671875,1.2039163787528082,26089,105.8756712328767,0,8,2019-03-01 15:21:50.750
11,1551453711.0,6.44500732421875,1.2031568841246099,26090,105.8756712328767,0,7,2019-03-01 15:21:51.000
12,1551453711.25,6.41632080078125,1.2031568841246099,26090,105.8756712328767,0,15,2019-03-01 15:21:51.250
13,1551453711.5,6.3885498046875,1.2031568841246099,26090,105.8756712328767,0,12,2019-03-01 15:21:51.500
14,1551453711.75,6.35955810546875,1.2031568841246099,26090,105.8756712328767,0,6,2019-03-01 15:21:51.750
15,1551453712.0,6.33026123046875,1.2031568841246099,26090,105.8756712328767,0,11,2019-03-01 15:21:52.000
16,1551453712.25,6.30218505859375,1.2031568841246099,26090,105.8756712328767,0,17,2019-03-01 15:21:52.250
17,1551453712.5,6.27471923828125,1.202397421964065,26091,105.8756712328767,0,18,2019-03-01 15:21:52.500
18,1551453712.75,6.24603271484375,1.202397421964065,26091,105.8756712328767,0,15,2019-03-01 15:21:52.750
19,1551453713.0,6.217041015625,1.202397421964065,26091,105.8756712328767,0,7,2019-03-01 15:21:53.000
20,1551453713.25,6.18743896484375,1.202397421964065,26091,105.8756712328767,0,0,2019-03-01 15:21:53.250
21,1551453713.5,6.1590576171875,1.202397421964065,26091,105.8756712328767,0,1,2019-03-01 15:21:53.500
22,1551453713.75,6.13006591796875,1.2016379922683882,26092,105.8756712328767,0,3,2019-03-01 15:21:53.750
23,1551453714.0,6.0992431640625,1.2016379922683882,26092,105.8756712328767,0,6,2019-03-01 15:21:54.000
24,1551453714.25,6.0699462890625,1.2016379922683882,26092,105.8756712328767,0,9,2019-03-01 15:21:54.250
25,1551453714.5,6.04034423828125,1.200878595034908,26093,105.8756712328767,0,11,2019-03-01 15:21:54.500
26,1551453714.75,6.0125732421875,1.200878595034908,26093,105.8756712328767,0,13,2019-03-01 15:21:54.750
27,1551453715.0,5.98419189453125,1.200878595034908,26093,105.8756712328767,0,12,2019-03-01 15:21:55.000
28,1551453715.25,5.9552001953125,1.200878595034908,26093,105.8756712328767,0,7,2019-03-01 15:21:55.250
29,1551453715.5,5.92498779296875,1.200878595034908,26093,105.8756712328767,0,0,2019-03-01 15:21:55.500
30,1551453715.75,5.89569091796875,1.200878595034908,26093,105.8756712328767,0,4,2019-03-01 15:21:55.750
31,1551453716.0,5.86700439453125,1.2001192302612367,26094,105.8756712328767,0,6,2019-03-01 15:21:56.000
32,1551453716.25,5.83709716796875,1.2001192302612367,26094,105.8756712328767,0,6,2019-03-01 15:21:56.250
33,1551453716.5,5.8074951171875,1.199359897944305,26095,105.8756712328767,0,6,2019-03-01 15:21:56.500
34,1551453716.75,5.780029296875,1.198600598081839,26096,105.8756712328767,0,11,2019-03-01 15:21:56.750
35,1551453717.0,5.7525634765625,1.1963228931940648,26099,105.8756712328767,0,11,2019-03-01 15:21:57.000
36,1551453717.25,5.72601318359375,1.194804585492136,26101,105.8756712328767,0,12,2019-03-01 15:21:57.250
37,1551453717.5,5.6988525390625,1.193286407544349,26103,105.8756712328767,0,11,2019-03-01 15:21:57.500
38,1551453717.75,5.67169189453125,1.192527367221544,26104,105.8756712328767,0,8,2019-03-01 15:21:57.750
39,1551453718.0,5.64422607421875,1.1917683593293873,26105,105.8756712328767,0,6,2019-03-01 15:21:58.000
