,YR,MO,DY,HR,LAT,LON,SLP,AT,SST,DCK,SID,PT,UID,RN1,RN2,RN3,RSA,IRF
45521,1946,1,17.0,,-64.7,33.4,985.4,2.2,,899,15,,0NCAX7,3,1,0,2,1
45522,1946,1,18.0,,-60.7,309.7,979.0,,,899,15,,0NCBVH,3,1,0,2,1
45523,1946,1,18.0,,-62.2,28.1,980.4,1.1,,899,15,,0NCBVI,3,1,0,2,1
45524,1946,1,18.0,,-65.2,32.3,987.5,,,899,15,,0NCBVG,3,1,0,2,1
45525,1946,1,19.0,,-60.4,309.2,981.0,-0.5,,899,15,,0NCCSQ,3,1,0,2,1
45526,1946,1,19.0,,-61.9,28.2,980.0,1.1,,899,15,,0NCCSR,3,1,0,2,1
45527,1946,1,19.0,,-65.2,31.5,988.5,1.1,,899,15,,0NCCSP,3,1,0,2,1
45528,1946,1,20.0,,-60.3,309.5,981.4,-0.5,,899,15,,0NCDQZ,3,1,0,2,1
45529,1946,1,20.0,,-61.8,28.2,982.7,1.1,,899,15,,0NCDR0,3,1,0,2,1
45530,1946,1,20.0,,-64.8,33.5,990.9,,,899,15,,0NCDQY,3,1,0,2,1
45531,1946,1,21.0,,-60.2,309.9,,1.7,,899,15,,0NCENN,3,1,0,2,1
45532,1946,1,21.0,,-60.3,32.3,986.0,3.9,,899,15,,0NCENL,3,1,0,2,1
45533,1946,1,21.0,,-61.6,28.3,988.8,2.2,,899,15,,0NCENO,3,1,0,2,1
45534,1946,1,21.0,,-64.3,35.5,990.9,,,899,15,,0NCENM,3,1,0,2,1
45535,1946,1,22.0,,-60.2,309.9,,1.7,,899,15,,0NCFLM,3,1,0,2,1
45536,1946,1,22.0,,-60.5,31.6,987.0,,,899,15,,0NCFLK,3,1,0,2,1
45537,1946,1,22.0,,-61.6,28.7,986.8,2.8,,899,15,,0NCFLN,3,1,0,2,1
45538,1946,1,22.0,,-64.3,39.3,992.6,1.1,,899,15,,0NCFLL,3,1,0,2,1
45539,1946,1,23.0,,-60.6,31.3,970.0,1.1,,899,15,,0NCGM2,3,1,0,2,1
45540,1946,1,23.0,,-60.6,309.3,,1.1,,899,15,,0NCGM4,3,1,0,2,1
45541,1946,1,23.0,,-61.7,29.1,971.9,1.1,,899,15,,0NCGM5,3,1,0,2,1
45542,1946,1,23.0,,-64.8,46.2,991.5,,,899,15,,0NCGM3,3,1,0,2,1
45543,1946,1,24.0,,-60.9,309.2,,-0.5,,899,15,,0NCHMA,3,1,0,2,1
45544,1946,1,24.0,,-61.0,31.0,968.0,3.9,,899,15,,0NCHM8,3,1,0,2,1
45545,1946,1,24.0,,-61.9,28.9,970.5,2.8,,899,15,,0NCHMB,3,1,0,2,1
45546,1946,1,24.0,,-64.8,47.3,985.4,-1.0,,899,15,,0NCHM9,3,1,0,2,1
45547,1946,1,25.0,,-60.0,25.8,979.3,,,899,15,,0NCIKJ,3,1,0,2,1
45548,1946,1,25.0,,-60.9,309.3,,-1.0,,899,15,,0NCIKI,3,1,0,2,1
45549,1946,1,25.0,,-61.4,31.6,979.0,3.9,,899,15,,0NCIKG,3,1,0,2,1
45550,1946,1,25.0,,-62.0,29.4,979.3,1.1,,899,15,,0NCIKK,3,1,0,2,1
45551,1946,1,25.0,,-64.8,49.0,985.4,2.8,,899,15,,0NCIKH,3,1,0,2,1
45552,1946,1,26.0,,-60.7,308.1,,-1.6,,899,15,,0NCJHP,3,1,0,2,1
45553,1946,1,26.0,,-61.2,32.1,986.0,,,899,15,,0NCJHN,3,1,0,2,1
45554,1946,1,26.0,,-62.0,28.7,987.5,1.1,,899,15,,0NCJHQ,3,1,0,2,1
45555,1946,1,26.0,,-64.8,50.0,1000.9,,,899,15,,0NCJHO,3,1,0,2,1
45556,1946,1,27.0,,-61.6,32.9,988.0,,,899,15,,0NCKCO,3,1,0,2,1
45557,1946,1,27.0,,-62.0,28.6,989.5,2.8,,899,15,,0NCKCR,3,1,0,2,1
45558,1946,1,27.0,,-64.7,50.0,992.9,,,899,15,,0NCKCP,3,1,0,2,1
45559,1946,1,28.0,,-61.2,307.9,976.3,1.1,,899,15,,0NCL79,3,1,0,2,1
45560,1946,1,28.0,,-61.8,33.0,982.0,3.9,,899,15,,0NCL77,3,1,0,2,1
45561,1946,1,28.0,,-62.2,28.6,986.1,2.2,,899,15,,0NCL7A,3,1,0,2,1
45562,1946,1,28.0,,-64.7,49.9,999.0,2.8,,899,15,,0NCL78,3,1,0,2,1
45563,1946,1,29.0,,-60.6,25.1,968.2,,,899,15,,0NCM0C,3,1,0,2,1
45564,1946,1,29.0,,-61.1,308.2,978.0,2.2,,899,15,,0NCM0B,3,1,0,2,1
45565,1946,1,29.0,,-61.8,32.2,977.0,2.8,,899,15,,0NCM09,3,1,0,2,1
45566,1946,1,29.0,,-62.4,27.8,980.7,1.1,,899,15,,0NCM0D,3,1,0,2,1
45567,1946,1,29.0,,-64.5,48.7,994.2,2.2,,899,15,,0NCM0A,3,1,0,2,1
45568,1946,1,30.0,,-61.1,25.4,969.9,2.2,,899,15,,0NCMUK,3,1,0,2,1
45569,1946,1,30.0,,-61.4,309.6,,2.2,,899,15,,0NCMUJ,3,1,0,2,1
45570,1946,1,30.0,,-61.9,31.3,971.0,1.1,,899,15,,0NCMUH,3,1,0,2,1
45571,1946,1,30.0,,-62.3,26.6,977.3,1.1,,899,15,,0NCMUL,3,1,0,2,1
45572,1946,1,30.0,,-64.4,49.0,990.2,,,899,15,,0NCMUI,3,1,0,2,1
45573,1946,1,31.0,,-61.6,310.6,,2.2,,899,15,,0NCNMX,3,1,0,2,1
45574,1946,1,31.0,,-62.0,27.3,984.8,2.2,,899,15,,0NCNMY,3,1,0,2,1
45575,1946,1,31.0,,-62.0,28.1,985.4,1.1,,899,15,,0NCNMZ,3,1,0,2,1
45576,1946,1,31.0,,-62.0,30.0,994.0,2.8,,899,15,,0NCNMV,3,1,0,2,1
45577,1946,1,31.0,,-64.4,49.7,987.5,,,899,15,,0NCNMW,3,1,0,2,1
45578,1946,2,,,-64.7,28.2,977.0,1.1,,899,15,,0NCOCH,3,1,0,2,1
45579,1946,2,1.0,,-61.6,312.0,967.2,2.2,,899,15,,0NCOE3,3,1,0,2,1
45580,1946,2,1.0,,-62.1,28.9,992.9,2.2,,899,15,,0NCOE5,3,1,0,2,1
45581,1946,2,1.0,,-62.2,30.3,988.0,,,899,15,,0NCOE1,3,1,0,2,1
45582,1946,2,1.0,,-62.4,26.9,989.8,3.9,,899,15,,0NCOE4,3,1,0,2,1
45583,1946,2,1.0,,-64.3,49.7,995.3,1.1,,899,15,,0NCOE2,3,1,0,2,1
45584,1946,2,2.0,,-61.5,312.8,971.9,1.7,,899,15,,0NCP6P,3,1,0,2,1
45585,1946,2,2.0,,-62.2,28.6,988.8,1.1,,899,15,,0NCP6R,3,1,0,2,1
45586,1946,2,2.0,,-62.3,30.3,986.0,5.0,,899,15,,0NCP6N,3,1,0,2,1
45587,1946,2,2.0,,-62.5,27.1,985.4,3.9,,899,15,,0NCP6Q,3,1,0,2,1
45588,1946,2,2.0,,-64.2,48.6,1000.7,,,899,15,,0NCP6O,3,1,0,2,1
45589,1946,2,3.0,,-61.4,313.3,971.9,1.1,,899,15,,0NCPX9,3,1,0,2,1
45590,1946,2,3.0,,-62.0,31.2,981.0,5.0,,899,15,,0NCPX7,3,1,0,2,1
45591,1946,2,3.0,,-62.1,27.8,984.1,,,899,15,,0NCPXB,3,1,0,2,1
45592,1946,2,3.0,,-62.6,26.9,980.0,2.8,,899,15,,0NCPXA,3,1,0,2,1
45593,1946,2,3.0,,-64.2,48.2,1002.4,,,899,15,,0NCPX8,3,1,0,2,1
45594,1946,2,4.0,,-61.5,30.9,,1.1,,899,15,,0NCQNU,3,1,0,2,1
45595,1946,2,4.0,,-61.5,314.1,967.8,-0.5,,899,15,,0NCQNW,3,1,0,2,1
