time,udata,vdata,tempu,tempv,ufdata,vfdata
2016-09-11 01:00:00,-1.4987684,-4.9795775,-1.4987684,-4.9795775,0.5060126714171294,-6.071048268022803
2016-09-11 02:00:00,0.13241737,-4.203863,0.13241737,-4.203863,0.4170809057677509,-6.160110978250087
2016-09-11 03:00:00,1.4521645,-3.9624763,1.4521645,-3.9624763,0.33738204638054126,-6.252872763946485
2016-09-11 04:00:00,2.7719116,-3.7210894,2.7719116,-3.7210894,0.2686590510130473,-6.3492368407899065
2016-09-11 05:00:00,2.7346115,-4.387129,2.7346115,-4.387129,0.21257028807602962,-6.449088047822435
2016-09-11 06:00:00,2.6973112,-5.053169,2.6973112,-5.053169,0.17039159509603352,-6.552369206833988
2016-09-11 07:00:00,2.280442,-6.129607,2.280442,-6.129607,0.1431198756830987,-6.658919775074258
2016-09-11 08:00:00,1.863573,-7.2060456,1.863573,-7.2060456,0.13147432554495952,-6.7685565016545794
2016-09-11 09:00:00,1.1012,-8.754848,1.1012,-8.754848,0.1358243939052981,-6.8810177875679095
2016-09-11 10:00:00,0.33882695,-10.30365,0.33882695,-10.30365,0.15631819685214055,-6.9960527501562355
2016-09-11 11:00:00,-0.83687615,-10.586885,-0.83687615,-10.586885,0.19293891664790364,-7.11344301484913
2016-09-11 12:00:00,-2.0125792,-10.870121,-2.0125792,-10.870121,0.24526158146372534,-7.232876445249092
2016-09-11 13:00:00,-2.7509933,-8.572895,-2.7509933,-8.572895,0.3126087926351251,-7.3540150363541565
2016-09-11 14:00:00,-3.4894075,-6.27567,-3.4894075,-6.27567,0.3939949289449649,-7.476355582034114
2016-09-11 15:00:00,-2.2715518,-4.2343893,-2.2715518,-4.2343893,0.48803790437823724,-7.599382680575279
2016-09-11 16:00:00,-1.0536962,-2.1931083,-1.0536962,-2.1931083,0.5932210557452062,-7.722462987890907
2016-09-11 17:00:00,0.47013766,-3.937508,0.47013766,-3.937508,0.7078253262756918,-7.844739034958363
2016-09-11 18:00:00,1.9939715,-5.681908,1.9939715,-5.681908,0.8299751386854924,-7.965417028591929
2016-09-11 19:00:00,3.2949164,-6.5805416,3.2949164,-6.5805416,0.9575845685935219,-8.08370986046001
2016-09-11 20:00:00,4.5958614,-7.479175,4.5958614,-7.479175,1.0884900640773145,-8.19873457407462
2016-09-11 21:00:00,3.97268,-10.161831,3.97268,-10.161831,1.2206903549597987,-8.309527985097105
2016-09-11 22:00:00,3.3494985,-12.844487,3.3494985,-12.844487,1.3520767748589848,-8.415146401616477
2016-09-11 23:00:00,2.8090048,-12.375055,2.8090048,-12.375055,1.4805899523090018,-8.514666280858458
2016-09-12 00:00:00,2.2685113,-11.9056225,2.2685113,-11.9056225,1.6043531247483591,-8.607106724487458
2016-09-12 01:00:00,1.4399296,-11.352493,1.4399296,-11.352493,1.7215467168582816,-8.691636139212536
2016-09-12 02:00:00,0.611348,-10.799363,0.611348,-10.799363,1.830591104615688,-8.767529293914677
2016-09-12 03:00:00,-1.5444603,-9.079628,-1.5444603,-9.079628,1.930092457699085,-8.834159322154889
2016-09-12 04:00:00,-3.7002685,-7.3598924,-3.7002685,-7.3598924,2.0187699406911417,-8.891075077457533
2016-09-12 05:00:00,-1.5733688,-6.311657,-1.5733688,-6.311657,2.095517711193401,-8.937948750737892
2016-09-12 06:00:00,0.55353093,-5.263421,0.55353093,-5.263421,2.1594782650791506,-8.974659693950507
