time,IntegratedChlor_5t045,11m Prawler,24m Prawler,0m Eco,11m Eco,24m Eco,52m Eco
5/7/16 6:00,376.0740924,12.79544832,10.98731034,11.645,11.4976,12.6215,0.718982
5/7/16 7:00,380.0367892,12.33085562,11.10453669,11.3527,10.5997,12.8222,0.754183
5/7/16 8:00,387.2180603,11.90198892,11.22842589,12.1845,11.1436,12.1518,0.819357
5/7/16 9:00,394.3993314,11.47312221,11.35231509,11.7916,10.3544,12.1501,0.83656
5/7/16 10:00,401.5806025,11.04425551,11.4762043,11.4556,10.0471,12.3628,0.967321
5/7/16 11:00,395.4272836,11.04275543,13.20648152,11.9898,10.1996,12.8439,0.974587
5/7/16 12:00,388.439568,11.06799733,15.03727664,12.3388,10.5983,12.8146,0.679321
5/7/16 13:00,380.8354223,10.97545437,12.99568256,11.9479,10.5949,12.2794,0.501799
5/7/16 14:00,373.2057778,10.87803918,10.7939055,11.2152,10.7162,12.877,0.531221
5/7/16 15:00,373.8861459,11.4358618,11.43360141,11.3646,10.8169,12.6456,0.501413
5/7/16 16:00,375.5213041,12.06896883,12.39977215,11.177,11.2134,12.0889,0.437065
5/7/16 17:00,390.4669398,11.63057084,11.6546192,10.7711,11.3593,12.5007,0.494257
5/7/16 18:00,405.7694461,11.16344447,10.86358353,8.49011,10.9771,11.7956,0.49577
5/7/16 19:00,400.9239543,11.32678569,10.70516324,8.06109,10.7255,11.8724,0.490926
5/7/16 20:00,393.3093047,11.57677892,10.63369014,5.30304,10.8263,12.0569,0.502348
5/7/16 21:00,385.694655,11.82677214,10.56221704,5.37412,11.183,12.357,0.624248
5/7/16 22:00,378.0800053,12.07676536,10.49074394,5.17613,11.5573,12.4744,0.919045
5/7/16 23:00,370.4653556,12.32675859,10.41927084,5.98196,11.6784,12.8252,0.749781
5/8/16 0:00,362.850706,12.57675181,10.34779774,5.51718,11.8062,12.7939,0.989063
5/8/16 1:00,371.6389035,13.25515196,11.04995404,7.33608,12.6388,12.7191,1.34422
5/8/16 2:00,386.4939098,14.09200405,12.03824733,6.38256,12.6965,12.5617,0.779286
5/8/16 3:00,393.2579759,14.49420814,12.48834486,8.77146,12.5821,11.8077,0.670955
5/8/16 4:00,,,,13.0212,12.899,13.5236,0.548725
5/8/16 5:00,,,,13.4239,13.8103,13.1966,0.587065
5/8/16 6:00,,,,12.8163,12.3119,11.8096,0.487183
5/8/16 7:00,,,,12.5458,12.2112,12.0036,0.535212
5/8/16 8:00,,,,12.0521,11.7779,11.5187,0.527917
5/8/16 9:00,,,,12.3389,10.7139,11.3632,0.594
5/8/16 10:00,,,,12.6474,11.1072,12.3545,0.567826
5/8/16 11:00,,,,12.9284,11.237,11.5986,0.588083
5/8/16 12:00,,,,12.6915,11.5254,11.8977,0.559679
5/8/16 13:00,,,,12.2421,11.974,11.5932,0.479422
5/8/16 14:00,,,,11.9217,11.2258,12.6892,0.399083
5/8/16 15:00,,,,12.3381,10.9469,12.6357,0.374504
5/8/16 16:00,,,,11.6337,11.0979,12.335,0.404174
5/8/16 17:00,,,,8.2921,11.3815,12.7186,0.383917
5/8/16 18:00,,,,9.22142,11.5996,12.5894,0.390413
5/8/16 19:00,385.4958497,14.1804949,12.96705909,9.77507,11.6764,12.8574,0.421761
5/8/16 20:00,446.1721389,12.47585734,15.06742742,9.26722,11.8846,12.8388,0.309908
5/8/16 21:00,423.1482252,13.4943502,13.65603198,5.59528,11.9446,12.8034,0.387083
5/8/16 22:00,397.1258812,15.00548004,12.0814114,4.15106,11.7911,12.391,0.348
5/8/16 23:00,397.5187263,14.41562116,11.95587534,3.93367,11.6573,12.9714,0.516661
5/9/16 0:00,399.8743859,13.66964561,11.93801536,4.55307,12.3713,13.2537,1.0339
5/9/16 1:00,402.2300455,12.92367006,11.92015538,5.29944,12.5018,13.1494,0.635176
5/9/16 2:00,401.108405,11.34249117,11.83224681,5.59667,12.1218,13.4085,0.5269
5/9/16 3:00,411.2340498,12.17852848,12.20930625,5.60716,14.0237,14.6937,0.407312
5/9/16 4:00,425.208043,13.86979337,12.7218417,7.57995,13.4636,14.9406,0.384743
5/9/16 5:00,418.2657321,12.87585021,12.48164371,14.9963,13.0182,13.5682,0.414496
5/9/16 6:00,407.5029633,11.39144161,12.10395553,15.0498,11.0377,13.0373,0.404092
5/9/16 7:00,404.2373692,12.19029237,11.40246435,14.2777,11.6404,12.1604,0.399496
5/9/16 8:00,401.0816555,13.02260714,10.69622743,13.8694,12.8373,12.2595,0.78242
5/9/16 9:00,398.5304119,13.08679494,10.59658891,13.7092,12.5387,12.5836,0.649734
5/9/16 10:00,395.9823756,13.14690715,10.50016893,12.795,11.8149,12.4364,0.511734
5/9/16 11:00,415.0463796,11.75401069,12.24519364,12.8403,11.8118,12.3978,0.552853
5/9/16 12:00,436.110894,10.22661704,14.16067099,13.0725,11.8994,11.9381,0.46167
5/9/16 13:00,406.4146053,10.0436744,12.77962907,12.9086,12.0308,13.0619,0.421239
5/9/16 14:00,371.7320445,9.992798197,11.07476756,12.8342,11.909,11.7736,0.408165
5/9/16 15:00,365.6851774,11.57655381,10.24540757,13.398,12.019,12.8778,0.361569
5/9/16 16:00,361.3049414,13.25544691,9.467002799,13.6745,12.5579,13.73,0.369413
5/9/16 17:00,377.3188128,11.3751321,10.32452672,13.7336,13.0913,14.4611,0.439652
5/9/16 18:00,395.6688541,9.087105678,11.36944827,11.2385,13.2117,13.3914,0.605614
5/9/16 19:00,397.4583673,11.46944762,10.83962374,8.20486,12.7579,13.9005,0.458203
5/9/16 20:00,396.9658333,14.49536817,10.09279858,7.40409,12.4222,13.5229,0.466156
5/9/16 21:00,412.2455848,15.0285723,10.12361959,7.60034,12.4872,13.2024,0.400321
