25,5D5B3BFB,5.44,8.652,3.252,8.658,356.160,00070,00051
25,5D5B3C03,5.61,8.650,3.252,8.655,356.210,00071,00053
26,5D5B3C90,9.79,8.662,3.252,8.681,357.940,00079,00051
26,5D5B3C98,9.91,8.670,3.266,8.683,358.000,00073,00051
26,5D5B3CA0,9.72,8.672,3.267,8.683,357.980,00073,00050
26,5D5B3CA8,9.85,8.670,3.267,8.682,358.020,00075,00049
26,5D5B3CB0,9.76,8.668,3.267,8.680,358.080,00071,00051
26,5D5B3CB8,9.59,8.670,3.267,8.683,358.060,00075,00050
26,5D5B3CC0,9.72,8.669,3.267,8.681,358.040,00071,00052
26,5D5B3CC8,9.89,8.666,3.266,8.680,358.010,00075,00053
26,5D5B3CD0,9.71,8.668,3.267,8.683,357.990,00076,00050
26,5D5B3CD8,9.58,8.666,3.266,8.680,357.970,00073,00051
26,5D5B3CE0,9.79,8.666,3.266,8.680,357.940,00073,00051
26,5D5B3CE8,9.72,8.666,3.266,8.680,358.010,00076,00051
26,5D5B3CF0,9.68,8.670,3.267,8.687,357.920,00076,00050
26,5D5B3CF8,9.64,8.666,3.266,8.680,357.970,00076,00054
26,5D5B3D00,9.82,8.666,3.266,8.679,358.010,00071,00050
26,5D5B3D08,9.78,8.665,3.266,8.682,357.980,00073,00050
26,5D5B3D10,9.64,8.670,3.267,8.682,357.940,00076,00050
26,5D5B3D18,9.55,8.670,3.267,8.686,357.820,00073,00051
26,5D5B3D20,9.64,8.668,3.266,8.688,357.960,00075,00052
26,5D5B3D28,9.60,8.673,3.267,8.687,358.050,00075,00053
26,5D5B3D30,9.66,8.671,3.267,8.687,357.990,00074,00050
27,5D5B3DC4,14.39,8.624,3.273,8.611,357.890,00073,00052
27,5D5B3DCC,14.48,8.621,3.279,8.603,357.950,00074,00053
27,5D5B3DD4,14.51,8.621,3.279,8.608,357.850,00077,00051
27,5D5B3DDC,14.23,8.611,3.279,8.607,357.690,00073,00051
27,5D5B3DE4,14.37,8.617,3.279,8.600,357.820,00078,00053
27,5D5B3DEC,14.32,8.606,3.278,8.597,357.870,00078,00050
27,5D5B3DF4,14.43,8.609,3.278,8.601,357.750,00073,00049
27,5D5B3DFC,14.40,8.608,3.278,8.608,357.750,00073,00050
27,5D5B3E04,14.27,8.606,3.278,8.596,357.930,00076,00050
27,5D5B3E0C,14.49,8.601,3.278,8.598,357.850,00073,00050
27,5D5B3E14,14.30,8.614,3.279,8.597,357.860,00073,00050
27,5D5B3E1C,14.39,8.595,3.277,8.605,357.780,00075,00051
27,5D5B3E24,14.46,8.603,3.277,8.591,357.860,00078,00051
27,5D5B3E2C,14.50,8.610,3.278,8.594,357.840,00073,00051
27,5D5B3E34,14.46,8.606,3.278,8.600,357.710,00074,00051
27,5D5B3E3C,14.46,8.606,3.278,8.597,357.870,00075,00050
27,5D5B3E44,14.39,8.596,3.278,8.594,357.920,00076,00052
27,5D5B3E4C,14.34,8.603,3.277,8.595,357.840,00077,00051
27,5D5B3E54,14.28,8.604,3.278,8.596,357.750,00075,00050
27,5D5B3E5C,14.37,8.598,3.277,8.599,357.700,00074,00052
27,5D5B3E64,14.34,8.602,3.278,8.593,357.890,00074,00051
28,5D5B3F06,19.79,1.053,3.146,-0.277,524.130,00086,00054
28,5D5B3F0E,19.65,-0.337,2.658,-0.277,524.460,00085,00051
28,5D5B3F16,19.60,-0.351,2.637,-0.289,525.100,00083,00050
28,5D5B3F1E,19.87,-0.377,2.628,-0.286,525.050,00087,00051
28,5D5B3F26,19.89,-0.314,2.627,-0.291,525.420,00089,00053
