datetime,depthavetemp
2019-04-29 12:00:00+00:00,3.9142772813880833
2019-04-29 13:00:00+00:00,3.910160162814308
2019-04-29 14:00:00+00:00,3.906043044240533
2019-04-29 15:00:00+00:00,3.9022399705247706
2019-04-29 16:00:00+00:00,3.898436896809008
2019-04-29 17:00:00+00:00,3.88400339185393
2019-04-29 18:00:00+00:00,3.869569886898852
2019-04-29 19:00:00+00:00,3.862580192569654
2019-04-29 20:00:00+00:00,3.855590498240456
2019-04-29 21:00:00+00:00,3.875286011972168
2019-04-29 22:00:00+00:00,3.894981525703881
2019-04-29 23:00:00+00:00,3.925856492511958
2019-04-30 00:00:00+00:00,3.956731459320035
2019-04-30 01:00:00+00:00,3.9669082761934824
2019-04-30 02:00:00+00:00,
2019-04-30 03:00:00+00:00,
2019-04-30 04:00:00+00:00,3.997438726813825
2019-04-30 05:00:00+00:00,3.972559299531139
2019-04-30 06:00:00+00:00,3.947679872248453
2019-04-30 07:00:00+00:00,4.257707993128743
2019-04-30 08:00:00+00:00,4.5677361140090325
2019-04-30 09:00:00+00:00,4.235289675580533
2019-04-30 10:00:00+00:00,3.9028432371520334
2019-04-30 11:00:00+00:00,3.9269679452821893
2019-04-30 12:00:00+00:00,3.951092653412345
2019-04-30 13:00:00+00:00,3.963259083275476
2019-04-30 14:00:00+00:00,3.9754255131386076
2019-04-30 15:00:00+00:00,3.9807710134268928
2019-04-30 16:00:00+00:00,
2019-04-30 17:00:00+00:00,
2019-04-30 18:00:00+00:00,3.996807514291748
2019-04-30 19:00:00+00:00,3.9786140364491978
2019-04-30 20:00:00+00:00,3.9812950226110213
2019-04-30 21:00:00+00:00,3.968429543198588
2019-04-30 22:00:00+00:00,3.955564063786154
2019-04-30 23:00:00+00:00,3.978771287607673
2019-05-01 00:00:00+00:00,4.001978511429192
2019-05-01 01:00:00+00:00,4.000545081611024
2019-05-01 02:00:00+00:00,3.9991116517928575
2019-05-01 03:00:00+00:00,4.027562195232568
2019-05-01 04:00:00+00:00,4.056012738672279
2019-05-01 05:00:00+00:00,4.041403962505889
2019-05-01 06:00:00+00:00,4.0267951863395
2019-05-01 07:00:00+00:00,4.020142784317911
2019-05-01 08:00:00+00:00,4.013490382296322
2019-05-01 09:00:00+00:00,4.001030766494195
2019-05-01 10:00:00+00:00,3.9885711506920694
2019-05-01 11:00:00+00:00,3.985402846392258
2019-05-01 12:00:00+00:00,3.982234542092447
2019-05-01 13:00:00+00:00,4.008048565130743
2019-05-01 14:00:00+00:00,4.033862588169038
2019-05-01 15:00:00+00:00,4.398731080483195
2019-05-01 16:00:00+00:00,4.763599572797352
2019-05-01 17:00:00+00:00,4.3787147989531086
2019-05-01 18:00:00+00:00,3.9938300251088656
2019-05-01 19:00:00+00:00,4.005967901283377
2019-05-01 20:00:00+00:00,4.0181057774578885
2019-05-01 21:00:00+00:00,4.010262792685237
2019-05-01 22:00:00+00:00,4.002419807912586
2019-05-01 23:00:00+00:00,4.00914145015087
2019-05-02 00:00:00+00:00,4.015863092389154
2019-05-02 01:00:00+00:00,4.031899049832683
