sampletime,argosid,latitude,longitude,BP,AT,BV,RH,WS,WD,SR,AZ
2019-01-31 19:00:00,28882.0,,,1009.4117647058824,8.5,12.0,66.0,1.6,155.30142594945644,384.3197540353575,271.07157983905125
2019-01-31 19:10:00,,,,,,,,,,,
2019-01-31 19:20:00,,,,,,,,,,,
2019-01-31 19:30:00,,,,,,,,,,,
2019-01-31 19:40:00,,,,,,,,,,,
2019-01-31 19:50:00,,,,,,,,,,,
2019-01-31 20:00:00,,,,,,,,,,,
2019-01-31 20:10:00,,,,,,,,,,,
2019-01-31 20:20:00,,,,,,,,,,,
2019-01-31 20:30:00,,,,,,,,,,,
2019-01-31 20:40:00,,,,,,,,,,,
2019-01-31 20:50:00,,,,,,,,,,,
2019-01-31 21:00:00,,,,,,,,,,,
2019-01-31 21:10:00,,,,,,,,,,,
2019-01-31 21:20:00,,,,,,,,,,,
2019-01-31 21:30:00,,,,,,,,,,,
2019-01-31 21:40:00,,,,,,,,,,,
2019-01-31 21:50:00,,,,,,,,,,,
2019-01-31 22:00:00,,,,,,,,,,,
2019-01-31 22:10:00,,,,,,,,,,,
2019-01-31 22:20:00,,,,,,,,,,,
2019-01-31 22:30:00,,,,,,,,,,,
2019-01-31 22:40:00,,,,,,,,,,,
2019-01-31 22:50:00,,,,,,,,,,,
2019-01-31 23:00:00,28882.0,,,1005.8823529411764,11.799999999999995,12.0,52.0,2.6,145.41860793449104,115.29592621060723,271.07157983905125
2019-01-31 23:10:00,,,,,,,,,,,
2019-01-31 23:20:00,,,,,,,,,,,
2019-01-31 23:30:00,,,,,,,,,,,
2019-01-31 23:40:00,,,,,,,,,,,
2019-01-31 23:50:00,,,,,,,,,,,
2019-02-01 00:00:00,,,,,,,,,,,
2019-02-01 00:10:00,,,,,,,,,,,
2019-02-01 00:20:00,,,,,,,,,,,
2019-02-01 00:30:00,,,,,,,,,,,
2019-02-01 00:40:00,,,,,,,,,,,
2019-02-01 00:50:00,,,,,,,,,,,
2019-02-01 01:00:00,,,,,,,,,,,
2019-02-01 01:10:00,,,,,,,,,,,
2019-02-01 01:20:00,,,,,,,,,,,
2019-02-01 01:30:00,,,,,,,,,,,
2019-02-01 01:40:00,,,,,,,,,,,
2019-02-01 01:50:00,,,,,,,,,,,
2019-02-01 02:00:00,,,,,,,,,,,
2019-02-01 02:10:00,,,,,,,,,,,
2019-02-01 02:20:00,,,,,,,,,,,
2019-02-01 02:30:00,,,,,,,,,,,
2019-02-01 02:40:00,,,,,,,,,,,
2019-02-01 02:50:00,,,,,,,,,,,
2019-02-01 03:00:00,,,,,,,,,,,
2019-02-01 03:10:00,,,,,,,,,,,
2019-02-01 03:20:00,,,,,,,,,,,
2019-02-01 03:30:00,,,,,,,,,,,
2019-02-01 03:40:00,,,,,,,,,,,
2019-02-01 03:50:00,,,,,,,,,,,
2019-02-01 04:00:00,,,,,,,,,,,
2019-02-01 04:10:00,,,,,,,,,,,
2019-02-01 04:20:00,,,,,,,,,,,
2019-02-01 04:30:00,,,,,,,,,,,
2019-02-01 04:40:00,,,,,,,,,,,
2019-02-01 04:50:00,,,,,,,,,,,
2019-02-01 05:00:00,,,,,,,,,,,
2019-02-01 05:10:00,,,,,,,,,,,
2019-02-01 05:20:00,,,,,,,,,,,
2019-02-01 05:30:00,,,,,,,,,,,
2019-02-01 05:40:00,,,,,,,,,,,
2019-02-01 05:50:00,,,,,,,,,,,
2019-02-01 06:00:00,,,,,,,,,,,
2019-02-01 06:10:00,,,,,,,,,,,
2019-02-01 06:20:00,,,,,,,,,,,
2019-02-01 06:30:00,,,,,,,,,,,
2019-02-01 06:40:00,,,,,,,,,,,
2019-02-01 06:50:00,,,,,,,,,,,
2019-02-01 07:00:00,,,,,,,,,,,
2019-02-01 07:10:00,,,,,,,,,,,
2019-02-01 07:20:00,,,,,,,,,,,
2019-02-01 07:30:00,,,,,,,,,,,
2019-02-01 07:40:00,,,,,,,,,,,
2019-02-01 07:50:00,,,,,,,,,,,
2019-02-01 08:00:00,,,,,,,,,,,
2019-02-01 08:10:00,,,,,,,,,,,
2019-02-01 08:20:00,,,,,,,,,,,
2019-02-01 08:30:00,,,,,,,,,,,
2019-02-01 08:40:00,,,,,,,,,,,
2019-02-01 08:50:00,,,,,,,,,,,
2019-02-01 09:00:00,,,,,,,,,,,
2019-02-01 09:10:00,,,,,,,,,,,
2019-02-01 09:20:00,,,,,,,,,,,
2019-02-01 09:30:00,,,,,,,,,,,
2019-02-01 09:40:00,,,,,,,,,,,
2019-02-01 09:50:00,,,,,,,,,,,
2019-02-01 10:00:00,,,,,,,,,,,
2019-02-01 10:10:00,,,,,,,,,,,
2019-02-01 10:20:00,,,,,,,,,,,
2019-02-01 10:30:00,,,,,,,,,,,
2019-02-01 10:40:00,,,,,,,,,,,
2019-02-01 10:50:00,,,,,,,,,,,
2019-02-01 11:00:00,,,,,,,,,,,
2019-02-01 11:10:00,,,,,,,,,,,
2019-02-01 11:20:00,,,,,,,,,,,
2019-02-01 11:30:00,,,,,,,,,,,
2019-02-01 11:40:00,,,,,,,,,,,
2019-02-01 11:50:00,,,,,,,,,,,
2019-02-01 12:00:00,,,,,,,,,,,
2019-02-01 12:10:00,,,,,,,,,,,
2019-02-01 12:20:00,,,,,,,,,,,
2019-02-01 12:30:00,,,,,,,,,,,
2019-02-01 12:40:00,,,,,,,,,,,
2019-02-01 12:50:00,,,,,,,,,,,
2019-02-01 13:00:00,,,,,,,,,,,
2019-02-01 13:10:00,,,,,,,,,,,
2019-02-01 13:20:00,,,,,,,,,,,
2019-02-01 13:30:00,,,,,,,,,,,
2019-02-01 13:40:00,,,,,,,,,,,
2019-02-01 13:50:00,,,,,,,,,,,
2019-02-01 14:00:00,,,,,,,,,,,
2019-02-01 14:10:00,,,,,,,,,,,
2019-02-01 14:20:00,,,,,,,,,,,
2019-02-01 14:30:00,,,,,,,,,,,
2019-02-01 14:40:00,,,,,,,,,,,
2019-02-01 14:50:00,,,,,,,,,,,
2019-02-01 15:00:00,,,,,,,,,,,
2019-02-01 15:10:00,,,,,,,,,,,
2019-02-01 15:20:00,,,,,,,,,,,
2019-02-01 15:30:00,,,,,,,,,,,
2019-02-01 15:40:00,,,,,,,,,,,
2019-02-01 15:50:00,,,,,,,,,,,
2019-02-01 16:00:00,,,,,,,,,,,
2019-02-01 16:10:00,,,,,,,,,,,
2019-02-01 16:20:00,,,,,,,,,,,
2019-02-01 16:30:00,,,,,,,,,,,
2019-02-01 16:40:00,,,,,,,,,,,
2019-02-01 16:50:00,,,,,,,,,,,
2019-02-01 17:00:00,,,,,,,,,,,
2019-02-01 17:10:00,,,,,,,,,,,
2019-02-01 17:20:00,,,,,,,,,,,
2019-02-01 17:30:00,,,,,,,,,,,
2019-02-01 17:40:00,,,,,,,,,,,
2019-02-01 17:50:00,,,,,,,,,,,
2019-02-01 18:00:00,,,,,,,,,,,
2019-02-01 18:10:00,,,,,,,,,,,
2019-02-01 18:20:00,,,,,,,,,,,
2019-02-01 18:30:00,,,,,,,,,,,
2019-02-01 18:40:00,,,,,,,,,,,
2019-02-01 18:50:00,,,,,,,,,,,
2019-02-01 19:00:00,,,,,,,,,,,
2019-02-01 19:10:00,,,,,,,,,,,
2019-02-01 19:20:00,,,,,,,,,,,
2019-02-01 19:30:00,,,,,,,,,,,
2019-02-01 19:40:00,,,,,,,,,,,
2019-02-01 19:50:00,,,,,,,,,,,
2019-02-01 20:00:00,,,,,,,,,,,
2019-02-01 20:10:00,,,,,,,,,,,
2019-02-01 20:20:00,,,,,,,,,,,
2019-02-01 20:30:00,,,,,,,,,,,
2019-02-01 20:40:00,,,,,,,,,,,
2019-02-01 20:50:00,,,,,,,,,,,
2019-02-01 21:00:00,,,,,,,,,,,
2019-02-01 21:10:00,,,,,,,,,,,
2019-02-01 21:20:00,,,,,,,,,,,
2019-02-01 21:30:00,,,,,,,,,,,
2019-02-01 21:40:00,,,,,,,,,,,
2019-02-01 21:50:00,,,,,,,,,,,
2019-02-01 22:00:00,,,,,,,,,,,
2019-02-01 22:10:00,,,,,,,,,,,
2019-02-01 22:20:00,,,,,,,,,,,
2019-02-01 22:30:00,,,,,,,,,,,
2019-02-01 22:40:00,,,,,,,,,,,
2019-02-01 22:50:00,,,,,,,,,,,
2019-02-01 23:00:00,,,,,,,,,,,
2019-02-01 23:10:00,,,,,,,,,,,
2019-02-01 23:20:00,,,,,,,,,,,
2019-02-01 23:30:00,,,,,,,,,,,
2019-02-01 23:40:00,,,,,,,,,,,
2019-02-01 23:50:00,,,,,,,,,,,
2019-02-02 00:00:00,,,,,,,,,,,
2019-02-02 00:10:00,,,,,,,,,,,
2019-02-02 00:20:00,,,,,,,,,,,
2019-02-02 00:30:00,,,,,,,,,,,
2019-02-02 00:40:00,,,,,,,,,,,
2019-02-02 00:50:00,,,,,,,,,,,
2019-02-02 01:00:00,,,,,,,,,,,
2019-02-02 01:10:00,,,,,,,,,,,
2019-02-02 01:20:00,,,,,,,,,,,
2019-02-02 01:30:00,,,,,,,,,,,
2019-02-02 01:40:00,,,,,,,,,,,
2019-02-02 01:50:00,,,,,,,,,,,
2019-02-02 02:00:00,,,,,,,,,,,
2019-02-02 02:10:00,,,,,,,,,,,
2019-02-02 02:20:00,,,,,,,,,,,
2019-02-02 02:30:00,,,,,,,,,,,
2019-02-02 02:40:00,,,,,,,,,,,
2019-02-02 02:50:00,,,,,,,,,,,
2019-02-02 03:00:00,28882.0,,,1000.0,9.4,12.0,89.0,2.8,145.41860793449104,0.0,271.07157983905125
2019-02-02 03:10:00,,,,,,,,,,,
2019-02-02 03:20:00,,,,,,,,,,,
2019-02-02 03:30:00,,,,,,,,,,,
2019-02-02 03:40:00,,,,,,,,,,,
2019-02-02 03:50:00,,,,,,,,,,,
2019-02-02 04:00:00,28882.0,,,1000.0,21.7,12.0,90.0,15.1,138.35945220951572,0.0,271.07157983905125
2019-02-02 04:10:00,,,,,,,,,,,
2019-02-02 04:20:00,,,,,,,,,,,
2019-02-02 04:30:00,,,,,,,,,,,
2019-02-02 04:40:00,,,,,,,,,,,
2019-02-02 04:50:00,,,,,,,,,,,
2019-02-02 05:00:00,28882.0,,,1001.1764705882354,8.899999999999997,12.0,88.0,3.2,155.30142594945644,0.0,271.07157983905125
2019-02-02 05:10:00,,,,,,,,,,,
2019-02-02 05:20:00,,,,,,,,,,,
2019-02-02 05:30:00,,,,,,,,,,,
2019-02-02 05:40:00,,,,,,,,,,,
2019-02-02 05:50:00,,,,,,,,,,,
2019-02-02 06:00:00,,,,,,,,,,,
2019-02-02 06:10:00,,,,,,,,,,,
2019-02-02 06:20:00,,,,,,,,,,,
2019-02-02 06:30:00,,,,,,,,,,,
2019-02-02 06:40:00,,,,,,,,,,,
2019-02-02 06:50:00,,,,,,,,,,,
2019-02-02 07:00:00,,,,,,,,,,,
2019-02-02 07:10:00,,,,,,,,,,,
2019-02-02 07:20:00,,,,,,,,,,,
2019-02-02 07:30:00,,,,,,,,,,,
2019-02-02 07:40:00,,,,,,,,,,,
2019-02-02 07:50:00,,,,,,,,,,,
2019-02-02 08:00:00,,,,,,,,,,,
2019-02-02 08:10:00,,,,,,,,,,,
2019-02-02 08:20:00,,,,,,,,,,,
2019-02-02 08:30:00,,,,,,,,,,,
2019-02-02 08:40:00,,,,,,,,,,,
2019-02-02 08:50:00,,,,,,,,,,,
2019-02-02 09:00:00,,,,,,,,,,,
2019-02-02 09:10:00,,,,,,,,,,,
2019-02-02 09:20:00,,,,,,,,,,,
2019-02-02 09:30:00,,,,,,,,,,,
2019-02-02 09:40:00,,,,,,,,,,,
2019-02-02 09:50:00,,,,,,,,,,,
2019-02-02 10:00:00,,,,,,,,,,,
2019-02-02 10:10:00,,,,,,,,,,,
2019-02-02 10:20:00,,,,,,,,,,,
2019-02-02 10:30:00,,,,,,,,,,,
2019-02-02 10:40:00,,,,,,,,,,,
2019-02-02 10:50:00,,,,,,,,,,,
2019-02-02 11:00:00,,,,,,,,,,,
2019-02-02 11:10:00,,,,,,,,,,,
2019-02-02 11:20:00,,,,,,,,,,,
2019-02-02 11:30:00,,,,,,,,,,,
2019-02-02 11:40:00,,,,,,,,,,,
2019-02-02 11:50:00,,,,,,,,,,,
2019-02-02 12:00:00,,,,,,,,,,,
2019-02-02 12:10:00,,,,,,,,,,,
2019-02-02 12:20:00,,,,,,,,,,,
2019-02-02 12:30:00,,,,,,,,,,,
2019-02-02 12:40:00,,,,,,,,,,,
2019-02-02 12:50:00,,,,,,,,,,,
2019-02-02 13:00:00,28882.0,,,1002.3529411764706,7.5,12.0,85.0,0.5,289.425384723987,0.0,271.07157983905125
2019-02-02 13:10:00,,,,,,,,,,,
2019-02-02 13:20:00,,,,,,,,,,,
2019-02-02 13:30:00,,,,,,,,,,,
2019-02-02 13:40:00,,,,,,,,,,,
2019-02-02 13:50:00,,,,,,,,,,,
2019-02-02 14:00:00,,,,,,,,,,,
2019-02-02 14:10:00,,,,,,,,,,,
2019-02-02 14:20:00,,,,,,,,,,,
2019-02-02 14:30:00,,,,,,,,,,,
2019-02-02 14:40:00,,,,,,,,,,,
2019-02-02 14:50:00,,,,,,,,,,,
2019-02-02 15:00:00,28882.0,,,1002.3529411764706,7.399999999999999,12.0,88.0,0.4,18.353804884935762,0.0,271.07157983905125
2019-02-02 15:10:00,,,,,,,,,,,
2019-02-02 15:20:00,,,,,,,,,,,
2019-02-02 15:30:00,,,,,,,,,,,
2019-02-02 15:40:00,,,,,,,,,,,
2019-02-02 15:50:00,,,,,,,,,,,
2019-02-02 16:00:00,,,,,,,,,,,
2019-02-02 16:10:00,,,,,,,,,,,
2019-02-02 16:20:00,,,,,,,,,,,
2019-02-02 16:30:00,,,,,,,,,,,
