DT,RH,AT
2019-04-27T22:00:00Z,085.05,004.53
2019-04-27T22:10:00Z,085.30,004.54
2019-04-27T22:20:00Z,085.37,004.55
2019-04-27T22:30:00Z,085.54,004.54
2019-04-27T22:40:00Z,085.72,004.54
2019-04-27T22:50:00Z,085.77,004.54
2019-04-27T23:00:00Z,085.68,004.55
2019-04-27T23:10:00Z,085.76,004.55
2019-04-27T23:20:00Z,085.67,004.58
2019-04-27T23:30:00Z,085.75,004.58
2019-04-27T23:40:00Z,085.73,004.60
