DT,U,USD,V,VSD
2019-04-26T23:00:00Z,-06.6,0.0,-00.2,0.0
2019-04-26T23:10:00Z,-05.8,0.0,-01.2,0.0
2019-04-26T23:20:00Z,-06.3,0.0,-00.8,0.0
2019-04-26T23:30:00Z,-06.1,0.0,-00.6,0.0
2019-04-26T23:40:00Z,-06.5,0.0,-00.1,0.0
2019-04-26T23:50:00Z,-06.4,0.0,-01.1,0.0
2019-04-27T00:00:00Z,-06.4,0.0,-01.1,0.0
2019-04-27T00:10:00Z,-06.4,0.0,-00.8,0.0
2019-04-27T00:20:00Z,-06.7,0.0,-01.5,0.0
2019-04-27T00:30:00Z,-06.5,0.0,-00.4,0.0
2019-04-27T00:40:00Z,-06.4,0.0,-01.7,0.0
2019-04-27T00:50:00Z,-06.6,0.0,-01.1,0.0
2019-04-27T01:00:00Z,-06.0,0.0,-01.8,0.0
2019-04-27T01:10:00Z,-06.2,0.0,-01.5,0.0
2019-04-27T01:20:00Z,-06.5,0.0,-01.9,0.0
2019-04-27T01:30:00Z,-07.0,0.0,-02.1,0.0
2019-04-27T01:40:00Z,-07.0,0.0,-01.8,0.0
2019-04-27T01:50:00Z,-07.0,0.0,-01.7,0.0
2019-04-27T02:00:00Z,-06.9,0.0,-02.4,0.0
2019-04-27T02:10:00Z,-06.6,0.0,-01.9,0.0
2019-04-27T02:20:00Z,-06.6,0.0,-02.7,0.0
2019-04-27T02:30:00Z,-06.9,0.0,-02.2,0.0
2019-04-27T02:40:00Z,-06.6,0.0,-02.3,0.0
2019-04-27T02:50:00Z,-06.8,0.0,-02.9,0.0
2019-04-27T03:00:00Z,-06.7,0.0,-02.8,0.0
2019-04-27T03:10:00Z,-07.2,0.0,-02.1,0.0
2019-04-27T03:20:00Z,-06.6,0.0,-03.0,0.0
2019-04-27T03:30:00Z,-07.6,0.0,-02.2,0.0
2019-04-27T03:40:00Z,-06.9,0.0,-02.9,0.0
2019-04-27T03:50:00Z,-07.3,0.0,-02.9,0.0
2019-04-27T04:00:00Z,-07.1,0.0,-03.0,0.0
2019-04-27T04:10:00Z,-07.2,0.0,-02.5,0.0
2019-04-27T04:20:00Z,-07.1,0.0,-03.4,0.0
2019-04-27T04:30:00Z,-07.3,0.0,-03.3,0.0
2019-04-27T04:40:00Z,-07.1,0.0,-03.4,0.0
2019-04-27T04:50:00Z,-06.9,0.0,-04.0,0.0
2019-04-27T05:00:00Z,-07.4,0.0,-03.4,0.0
2019-04-27T05:10:00Z,-07.0,0.0,-04.1,0.0
2019-04-27T05:20:00Z,-07.2,0.0,-03.5,0.0
2019-04-27T05:30:00Z,-07.6,0.0,-03.8,0.0
2019-04-27T05:40:00Z,-07.9,0.0,-04.0,0.0
2019-04-27T05:50:00Z,-07.9,0.0,-03.8,0.0
2019-04-27T06:00:00Z,-07.1,0.0,-03.7,0.0
2019-04-27T06:10:00Z,-07.5,0.0,-03.7,0.0
2019-04-27T06:20:00Z,-07.5,0.0,-03.4,0.0
2019-04-27T06:30:00Z,-07.9,0.0,-03.5,0.0
2019-04-27T06:40:00Z,-08.7,0.0,-03.3,0.0
2019-04-27T06:50:00Z,-07.7,0.0,-03.4,0.0
2019-04-27T07:00:00Z,-07.9,0.0,-03.5,0.0
2019-04-27T07:10:00Z,-06.8,0.0,-02.4,0.0
2019-04-27T07:20:00Z,-08.1,0.0,-03.4,0.0
2019-04-27T07:30:00Z,-07.8,0.0,-02.3,0.0
2019-04-27T07:40:00Z,-07.7,0.0,-02.3,0.0
2019-04-27T07:50:00Z,-07.6,0.0,-02.5,0.0
2019-04-27T08:00:00Z,-07.6,0.0,-02.3,0.0
2019-04-27T08:10:00Z,-06.9,0.0,-02.0,0.0
2019-04-27T08:20:00Z,-07.0,0.0,-02.1,0.0
2019-04-27T08:30:00Z,-06.5,0.0,-01.9,0.0
2019-04-27T08:40:00Z,-06.7,0.0,-02.1,0.0
2019-04-27T08:50:00Z,-06.5,0.0,-02.2,0.0
2019-04-27T09:00:00Z,-07.2,0.0,-01.9,0.0
2019-04-27T09:10:00Z,-06.6,0.0,-01.7,0.0
2019-04-27T09:20:00Z,-07.2,0.0,-01.3,0.0
2019-04-27T09:30:00Z,-07.4,0.0,-01.3,0.0
2019-04-27T09:40:00Z,-07.4,0.0,-01.2,0.0
2019-04-27T09:50:00Z,-07.1,0.0,-01.4,0.0
2019-04-27T10:00:00Z,-07.3,0.0,-01.5,0.0
2019-04-27T10:10:00Z,-07.4,0.0,-01.0,0.0
2019-04-27T10:20:00Z,-07.0,0.0,-01.2,0.0
2019-04-27T10:30:00Z,-07.0,0.0,-01.2,0.0
2019-04-27T10:40:00Z,-07.3,0.0,-01.1,0.0
2019-04-27T10:50:00Z,-07.1,0.0,-01.4,0.0
2019-04-27T11:00:00Z,-07.3,0.0,-01.5,0.0
2019-04-27T11:10:00Z,-06.5,0.0,-01.4,0.0
2019-04-27T11:20:00Z,-06.7,0.0,-01.1,0.0
2019-04-27T11:30:00Z,-06.1,0.0,-01.2,0.0
2019-04-27T11:40:00Z,-05.7,0.0,-01.8,0.0
2019-04-27T11:50:00Z,-05.9,0.0,-01.7,0.0
2019-04-27T12:00:00Z,-05.8,0.0,-01.9,0.0
2019-04-27T12:10:00Z,-06.0,0.0,-01.9,0.0
2019-04-27T12:20:00Z,-06.2,0.0,-01.7,0.0
2019-04-27T12:30:00Z,-06.6,0.0,-01.6,0.0
2019-04-27T12:40:00Z,-06.4,0.0,-01.9,0.0
2019-04-27T12:50:00Z,-06.4,0.0,-01.9,0.0
2019-04-27T13:00:00Z,-06.3,0.0,-02.1,0.0
2019-04-27T13:10:00Z,-05.9,0.0,-02.0,0.0
2019-04-27T13:20:00Z,-06.1,0.0,-02.0,0.0
2019-04-27T13:30:00Z,-05.7,0.0,-02.4,0.0
2019-04-27T13:40:00Z,-05.5,0.0,-02.4,0.0
2019-04-27T13:50:00Z,-05.8,0.0,-02.8,0.0
2019-04-27T14:00:00Z,-05.3,0.0,-02.4,0.0
2019-04-27T14:10:00Z,-05.3,0.0,-02.2,0.0
2019-04-27T14:20:00Z,-05.7,0.0,-02.6,0.0
