sampletime,argosid,latitude,longitude,BP,AT,BV,RH,WS,WD,SR,AZ
2019-04-25 13:00:00,28882.0,56.869,164.074,1022.3529411764706,1.6000000000000014,13.0,62.0,2.5,223.06932090921924,0.0,271.07157983905125
2019-04-25 13:10:00,,,,,,,,,,,
2019-04-25 13:20:00,,,,,,,,,,,
2019-04-25 13:30:00,,,,,,,,,,,
2019-04-25 13:40:00,,,,,,,,,,,
2019-04-25 13:50:00,,,,,,,,,,,
2019-04-25 14:00:00,28882.0,56.869,164.074,1023.529411764706,1.7999999999999972,13.0,65.0,3.3,235.7758012141748,0.0,271.07157983905125
2019-04-25 14:10:00,,,,,,,,,,,
2019-04-25 14:20:00,,,,,,,,,,,
2019-04-25 14:30:00,,,,,,,,,,,
2019-04-25 14:40:00,,,,,,,,,,,
2019-04-25 14:50:00,,,,,,,,,,,
2019-04-25 15:00:00,28882.0,56.869,164.074,1023.529411764706,1.7000000000000028,13.0,64.0,2.6,248.48228151913034,0.0,271.07157983905125
2019-04-25 15:10:00,,,,,,,,,,,
2019-04-25 15:20:00,,,,,,,,,,,
2019-04-25 15:30:00,,,,,,,,,,,
2019-04-25 15:40:00,,,,,,,,,,,
2019-04-25 15:50:00,,,,,,,,,,,
2019-04-25 16:00:00,28882.0,56.869,164.06900000000005,1023.529411764706,1.5,13.0,61.0,4.1,310.6028518989129,27.45141100252553,271.07157983905125
2019-04-25 16:10:00,,,,,,,,,,,
2019-04-25 16:20:00,,,,,,,,,,,
2019-04-25 16:30:00,,,,,,,,,,,
2019-04-25 16:40:00,,,,,,,,,,,
2019-04-25 16:50:00,,,,,,,,,,,
2019-04-25 17:00:00,28882.0,56.869,164.06900000000005,1023.529411764706,2.1000000000000014,13.0,62.0,2.2,340.25130594380914,203.14044141868888,271.07157983905125
2019-04-25 17:10:00,,,,,,,,,,,
2019-04-25 17:20:00,,,,,,,,,,,
2019-04-25 17:30:00,,,,,,,,,,,
2019-04-25 17:40:00,,,,,,,,,,,
2019-04-25 17:50:00,,,,,,,,,,,
2019-04-25 18:00:00,28882.0,56.869,164.06900000000005,1024.7058823529412,2.0,13.0,63.0,1.8,288.01355357899195,142.74733721313274,271.07157983905125
2019-04-25 18:10:00,,,,,,,,,,,
2019-04-25 18:20:00,,,,,,,,,,,
2019-04-25 18:30:00,,,,,,,,,,,
2019-04-25 18:40:00,,,,,,,,,,,
2019-04-25 18:50:00,,,,,,,,,,,
2019-04-25 19:00:00,,,,,,,,,,,
2019-04-25 19:10:00,,,,,,,,,,,
2019-04-25 19:20:00,,,,,,,,,,,
2019-04-25 19:30:00,,,,,,,,,,,
2019-04-25 19:40:00,,,,,,,,,,,
2019-04-25 19:50:00,,,,,,,,,,,
2019-04-25 20:00:00,,,,,,,,,,,
2019-04-25 20:10:00,,,,,,,,,,,
2019-04-25 20:20:00,,,,,,,,,,,
2019-04-25 20:30:00,,,,,,,,,,,
2019-04-25 20:40:00,,,,,,,,,,,
2019-04-25 20:50:00,,,,,,,,,,,
2019-04-25 21:00:00,,,,,,,,,,,
2019-04-25 21:10:00,,,,,,,,,,,
2019-04-25 21:20:00,,,,,,,,,,,
