,time,pressure,topside_temp,topside_temp_ADC,underside_temp,underside_temp_ADC,temp_ref,par,fluor,tilt,datetime,id,dep_lat,dep_lon
0,10800,0.08026123046875,-0.9482139625479249,29118,-1.3796654711902079,29725,8526,82.12815068493151,0,1,2019-04-30 18:00:00,300434063823800,59.89135,171.2518166667
1,14400,0.07965087890625,-1.208277547783041,29508,-1.4223152257522997,29790,8526,56.444931506849315,0,0,2019-04-30 19:00:00,300434063823800,59.89135,171.2518166667
2,18000,0.079345703125,-1.0767295167683528,29310,-1.4373817363911598,29813,8526,43.22534246575342,0,0,2019-04-30 20:00:00,300434063823800,59.89135,171.2518166667
3,21600,0.07843017578125,-1.4279574927884369,29842,-1.4242811609526598,29793,8526,25.140479452054795,0,0,2019-04-30 21:00:00,300434063823800,59.89135,171.2518166667
4,25200,0.078125,-1.5296212298291607,29998,-1.4655146978921607,29856,8526,11.126164383561644,0,0,2019-04-30 22:00:00,300434063823800,59.89135,171.2518166667
5,28800,0.0775146484375,-1.5120680015309063,29971,-1.5268570632230762,29950,8526,6.183356164383562,0,1,2019-04-30 23:00:00,300434063823800,59.89135,171.2518166667
6,32400,0.0775146484375,-1.589947233366047,30091,-1.5548461472079111,29993,8526,1.8220547945205479,0,1,2019-05-01 00:00:00,300434063823800,59.89135,171.2518166667
7,36000,0.0775146484375,-1.6041873721912339,30113,-1.5723977468172166,30020,8526,0.21321917808219176,0,1,2019-05-01 01:00:00,300434063823800,59.89135,171.2518166667
8,39600,0.0775146484375,-1.5918897567227077,30094,-1.579543334380844,30031,8526,-0.09691780821917807,0,1,2019-05-01 02:00:00,300434063823800,59.89135,171.2518166667
9,43200,0.07720947265625,-1.6145365228847481,30129,-1.5275084827964633,29951,8526,-0.1163013698630137,0,0,2019-05-01 03:00:00,300434063823800,59.89135,171.2518166667
10,46800,0.07598876953125,-1.5536469460764124,30035,-1.5242511414957107,29946,8526,-0.07753424657534247,0,1,2019-05-01 04:00:00,300434063823800,59.89135,171.2518166667
11,50400,0.076904296875,-1.6048343744536169,30114,-1.5359747229432514,29964,8526,0.15506849315068494,0,1,2019-05-01 05:00:00,300434063823800,59.89135,171.2518166667
12,54000,0.07720947265625,-1.6035403458733413,30112,-1.5366258019144539,29965,8526,1.8802054794520549,0,1,2019-05-01 06:00:00,300434063823800,59.89135,171.2518166667
13,57600,0.07659912109375,-1.5529980381795667,30034,-1.5183863930475923,29937,8526,7.346369863013699,0,1,2019-05-01 07:00:00,300434063823800,59.89135,171.2518166667
14,61200,0.07659912109375,-1.4957992190166465,29946,-1.5437860661368745,29976,8526,18.395,0,2,2019-05-01 08:00:00,300434063823800,59.89135,171.2518166667
15,64800,0.07659912109375,-1.2921350712674666,29635,-1.5379278869114046,29967,8526,34.71595890410959,0,2,2019-05-01 09:00:00,300434063823800,59.89135,171.2518166667
16,68400,0.07659912109375,-1.1353177795157876,29398,-1.5405317651711243,29971,8526,51.23075342465753,0,2,2019-05-01 10:00:00,300434063823800,59.89135,171.2518166667
17,72000,0.07659912109375,-1.2340719999642715,29547,-1.5353236196544913,29963,8526,48.265068493150686,0,0,2019-05-01 11:00:00,300434063823800,59.89135,171.2518166667
18,75600,0.07659912109375,-1.3263543956834383,29687,-1.5222964445459297,29943,8526,47.2377397260274,0,1,2019-05-01 12:00:00,300434063823800,59.89135,171.2518166667
19,79200,0.07659912109375,-1.2208488413301097,29527,-1.5066509743968481,29919,8526,59.46876712328767,0,1,2019-05-01 13:00:00,300434063823800,59.89135,171.2518166667
20,82800,0.0762939453125,-0.8417425272900232,28960,-1.4648609581159917,29855,8526,76.1386301369863,0,1,2019-05-01 14:00:00,300434063823800,59.89135,171.2518166667
21,86400,0.07659912109375,-0.6855840593102016,28730,-1.4111707393911956,29773,8526,81.87616438356164,0,1,2019-05-01 15:00:00,300434063823800,59.89135,171.2518166667
22,90000,0.07659912109375,-0.4908191573189242,28446,-1.3947688448876079,29748,8526,85.88856164383562,0,0,2019-05-01 16:00:00,300434063823800,59.89135,171.2518166667
23,93600,0.07598876953125,-0.4417875251470491,28375,-1.3474450584956799,29676,8526,84.76431506849315,0,0,2019-05-01 17:00:00,300434063823800,59.89135,171.2518166667
24,97200,0.07568359375,-0.46666578678298265,28411,-1.3158244205357619,29628,8526,70.84691780821917,0,0,2019-05-01 18:00:00,300434063823800,59.89135,171.2518166667
25,100800,0.07537841796875,-0.6814916406329985,28724,-1.3599457507493184,29695,8526,33.92123287671233,0,0,2019-05-01 19:00:00,300434063823800,59.89135,171.2518166667
26,104400,0.07415771484375,-0.758405199100082,28837,-1.4026436787281114,29760,8526,29.366095890410957,0,0,2019-05-01 20:00:00,300434063823800,59.89135,171.2518166667
27,108000,0.07415771484375,-0.8539049780733876,28978,-1.3967378866051945,29751,8526,18.995890410958904,0,0,2019-05-01 21:00:00,300434063823800,59.89135,171.2518166667
28,111600,0.0738525390625,-0.9428385695475754,29110,-1.4216598647800538,29789,8526,13.122671232876712,0,0,2019-05-01 22:00:00,300434063823800,59.89135,171.2518166667
29,115200,0.07354736328125,-1.454734350841477,29883,-1.4092033260593553,29770,8526,9.032739726027398,0,0,2019-05-01 23:00:00,300434063823800,59.89135,171.2518166667
30,118800,0.07354736328125,-1.5504021646722776,30030,-1.452435244103242,29836,8526,2.2484931506849315,0,0,2019-05-02 00:00:00,300434063823800,59.89135,171.2518166667
31,122400,0.0732421875,-1.575047347115742,30068,-1.5294625954836079,29954,8526,0.19383561643835615,0,0,2019-05-02 01:00:00,300434063823800,59.89135,171.2518166667
32,126000,0.07232666015625,-1.5990104879513183,30105,-1.5600484639729757,30001,8526,-0.07753424657534247,0,0,2019-05-02 02:00:00,300434063823800,59.89135,171.2518166667
33,129600,0.072021484375,-1.5983632691282423,30104,-1.5392298746590427,29969,8526,-0.09691780821917807,0,0,2019-05-02 03:00:00,300434063823800,59.89135,171.2518166667
34,133200,0.072021484375,-1.5828227922196447,30080,-1.5073031493668623,29920,8526,-0.07753424657534247,0,0,2019-05-02 04:00:00,300434063823800,59.89135,171.2518166667
35,136800,0.07110595703125,-1.5990104879513183,30105,-1.5398808320686612,29970,8526,0.07753424657534247,0,0,2019-05-02 05:00:00,300434063823800,59.89135,171.2518166667
36,140400,0.07110595703125,-1.5957741531108809,30100,-1.548991684338148,29984,8526,1.1242465753424657,0,0,2019-05-02 06:00:00,300434063823800,59.89135,171.2518166667
37,144000,0.07110595703125,-1.5918897567227077,30094,-1.5561468719699292,29995,8526,3.9930136986301368,0,0,2019-05-02 07:00:00,300434063823800,59.89135,171.2518166667
38,147600,0.07049560546875,-1.5880044931730026,30088,-1.541833558461633,29973,8526,9.924383561643836,0,0,2019-05-02 08:00:00,300434063823800,59.89135,171.2518166667
39,151200,0.0701904296875,-1.5828227922196447,30080,-1.534672492046525,29962,8526,17.60027397260274,0,1,2019-05-02 09:00:00,300434063823800,59.89135,171.2518166667
40,154800,0.0701904296875,-1.6015991225696098,30109,-1.5645992177900894,30008,8526,25.39246575342466,0,1,2019-05-02 10:00:00,300434063823800,59.89135,171.2518166667
41,158400,0.07049560546875,-1.5594860288665586,30044,-1.5522444064600336,29989,8526,35.21993150684931,0,2,2019-05-02 11:00:00,300434063823800,59.89135,171.2518166667
42,162000,0.07049560546875,-1.5698617866565883,30060,-1.5476904255203863,29982,8526,53.014041095890406,0,2,2019-05-02 12:00:00,300434063823800,59.89135,171.2518166667
43,165600,0.069580078125,-1.568565155117824,30058,-1.5600484639729757,30001,8526,57.103972602739724,0,3,2019-05-02 13:00:00,300434063823800,59.89135,171.2518166667
44,169200,0.06927490234375,-1.597716026234309,30103,-1.5775948282956733,30028,8526,102.61657534246575,0,5,2019-05-02 14:00:00,300434063823800,59.89135,171.2518166667
45,172800,0.06866455078125,-1.5873568649148524,30087,-1.5938257263679247,30053,8526,94.14595890410959,0,5,2019-05-02 15:00:00,300434063823800,59.89135,171.2518166667
46,176400,0.06805419921875,-1.5867092125569684,30086,-1.5951235454153903,30055,8526,84.12465753424657,0,5,2019-05-02 16:00:00,300434063823800,59.89135,171.2518166667
47,180000,0.06805419921875,-1.5964214682273905,30101,-1.6132828706065538,30083,8526,74.93684931506849,0,4,2019-05-02 17:00:00,300434063823800,59.89135,171.2518166667
48,183600,0.06744384765625,-1.597716026234309,30103,-1.6223554415292938,30097,8526,66.05917808219178,0,5,2019-05-02 18:00:00,300434063823800,59.89135,171.2518166667
49,187200,0.06744384765625,-1.6087158829576538,30120,-1.6301281727485275,30109,8526,53.24664383561644,0,5,2019-05-02 19:00:00,300434063823800,59.89135,171.2518166667
50,190800,0.06744384765625,-1.6158297340688819,30131,-1.633365787650689,30114,8526,32.312397260273976,0,6,2019-05-02 20:00:00,300434063823800,59.89135,171.2518166667
51,194400,0.067138671875,-1.6358622270468004,30162,-1.6443691802542162,30131,8526,20.81794520547945,0,6,2019-05-02 21:00:00,300434063823800,59.89135,171.2518166667
52,198000,0.0665283203125,-1.6313407763761347,30155,-1.6488979698310686,30138,8526,16.340342465753423,0,7,2019-05-02 22:00:00,300434063823800,59.89135,171.2518166667
53,201600,0.06591796875,-1.6474834220802563,30180,-1.6553656276807374,30148,8526,7.578972602739725,0,8,2019-05-02 23:00:00,300434063823800,59.89135,171.2518166667
54,205200,0.06591796875,-1.6571618252017402,30195,-1.667647566183632,30167,8526,1.8608219178082193,0,10,2019-05-03 00:00:00,300434063823800,59.89135,171.2518166667
55,208800,0.06591796875,-1.6674795239839,30211,-1.676046011160679,30180,8526,0.34890410958904106,0,10,2019-05-03 01:00:00,300434063823800,59.89135,171.2518166667
56,212400,0.064697265625,-1.679079625174552,30229,-1.6773377202931101,30182,8526,-0.038767123287671235,0,11,2019-05-03 02:00:00,300434063823800,59.89135,171.2518166667
57,216000,0.06195068359375,-1.6739249796100353,30221,-1.6831492262832057,30191,8526,-0.09691780821917807,0,4,2019-05-03 03:00:00,300434063823800,59.89135,171.2518166667
