ep_dec,profilenumber,ep,CD,CT,CC,OT,02,CH,TB,ep_dec,S,O2_corr,O2_corr_umkg,O2PercentSat,dep_lat,dep_lon
2019-08-18 22:18:52,1,5D59CECC,0.045899999999999996,0.0086,0.00327,0.008605,3.6327999999999996,0.25620000000000004,0.0247,1566166732,0.0003715925218419243,3.63279068064464,3.633358510712647,0.7952294583771696,71.2167,-164.25
2019-08-18 22:19:00,1,5D59CED4,0.045599999999999995,0.0086,0.00327,0.008605,3.6323000000000003,0.24400000000000002,0.0247,1566166740,0.0003715925379191836,3.6322906819269063,3.632858439386993,0.795120008277572,71.2167,-164.25
2019-08-18 22:19:08,1,5D59CEDC,0.0463,0.0086,0.00327,0.008605,3.6327,0.25620000000000004,0.0,1566166748,0.00037159250040557854,3.632690680901712,3.6332584879445218,0.7952075664968086,71.2167,-164.25
2019-08-18 22:19:16,1,5D59CEE4,0.0453,0.0086,0.00327,0.008605,3.6332,0.2806,0.0,1566166756,0.00037159255399644466,3.6331906796176994,3.633758583301642,0.7953170218544522,71.2167,-164.25
2019-08-18 22:19:24,1,5D59CEEC,0.045599999999999995,0.0086,0.00327,0.008605,3.6319999999999997,0.2928,0.0494,1566166764,0.0003715925379191836,3.6319906826965065,3.6325583932642007,0.7950543374897837,71.2167,-164.25
2019-08-18 22:19:32,1,5D59CEF4,0.045899999999999996,0.0086,0.00327,0.008605999999999999,3.6323000000000003,0.2928,0.0494,1566166772,0.0003715925218419243,3.6322906819273095,3.632858433842092,0.7951200070643564,71.2167,-164.25
2019-08-18 22:19:40,1,5D59CEFC,0.0444,0.008599,0.00327,0.008605,3.6319999999999997,0.2806,-0.0247,1566166780,0.0003715919116403007,3.6319906827121318,3.6325584157075923,0.7950543197926688,71.2167,-164.25
2019-08-18 22:19:48,1,5D59CF04,0.044000000000000004,0.0086,0.0032689999999999998,0.008605999999999999,3.6316,0.2318,0.0247,1566166788,0.0003708006477941058,3.6315907035762662,3.632158383564644,0.7949667828634316,71.2167,-164.25
2019-08-18 22:19:56,1,5D59CF0C,0.0438,0.008599,0.00327,0.008605999999999999,3.6310000000000002,0.25620000000000004,0.0494,1566166796,0.00037159194379482625,3.630990685276659,3.6315582730446083,0.7948354195971428,71.2167,-164.25
2019-08-18 22:20:04,1,5D59CF14,0.0446,0.008599,0.00327,0.008605999999999999,3.6312,0.24400000000000002,-0.0247,1566166804,0.00037159190092212434,3.6311906847646673,3.6317582890130575,0.7948791968872326,71.2167,-164.25
