time (UTC),max_temperature,min_temperature,mean_temperature,station_id
2020-06-01 00:00:00-07:00,21.22,18.6,20.1,channel_1027974_thingspeak
2020-06-02 00:00:00-07:00,21.54,19.0,20.5,channel_1027974_thingspeak
2020-06-03 00:00:00-07:00,21.22,18.6,20.2,channel_1027974_thingspeak
2020-06-04 00:00:00-07:00,24.44,18.6,22.0,channel_1027974_thingspeak
2020-06-05 00:00:00-07:00,23.48,20.9,22.0,channel_1027974_thingspeak
2020-06-06 00:00:00-07:00,22.83,20.6,21.5,channel_1027974_thingspeak
2020-06-07 00:00:00-07:00,22.51,20.6,21.8,channel_1027974_thingspeak
2020-06-08 00:00:00-07:00,22.83,20.9,21.8,channel_1027974_thingspeak
2020-06-09 00:00:00-07:00,24.77,21.2,22.9,channel_1027974_thingspeak
2020-06-10 00:00:00-07:00,24.44,21.5,23.1,channel_1027974_thingspeak
2020-06-11 00:00:00-07:00,24.44,21.5,23.1,channel_1027974_thingspeak
2020-06-12 00:00:00-07:00,24.44,20.9,22.4,channel_1027974_thingspeak
2020-06-13 00:00:00-07:00,22.19,19.9,21.1,channel_1027974_thingspeak
2020-06-14 00:00:00-07:00,21.87,19.0,20.7,channel_1027974_thingspeak
2020-06-15 00:00:00-07:00,21.54,19.0,20.6,channel_1027974_thingspeak
2020-06-16 00:00:00-07:00,21.22,18.3,19.7,channel_1027974_thingspeak
2020-06-17 00:00:00-07:00,22.51,18.0,20.5,channel_1027974_thingspeak
2020-06-18 00:00:00-07:00,22.83,18.6,21.3,channel_1027974_thingspeak
2020-06-19 00:00:00-07:00,23.8,20.6,22.3,channel_1027974_thingspeak
2020-06-20 00:00:00-07:00,24.44,21.5,23.3,channel_1027974_thingspeak
2020-06-21 00:00:00-07:00,23.8,20.9,22.3,channel_1027974_thingspeak
2020-06-22 00:00:00-07:00,24.44,19.6,22.0,channel_1027974_thingspeak
2020-06-23 00:00:00-07:00,24.44,20.9,22.8,channel_1027974_thingspeak
2020-06-24 00:00:00-07:00,25.73,21.5,23.9,channel_1027974_thingspeak
2020-06-25 00:00:00-07:00,25.41,22.2,24.0,channel_1027974_thingspeak
2020-06-26 00:00:00-07:00,25.09,21.2,23.1,channel_1027974_thingspeak
2020-06-27 00:00:00-07:00,23.48,20.6,22.0,channel_1027974_thingspeak
2020-06-28 00:00:00-07:00,23.48,19.9,21.7,channel_1027974_thingspeak
2020-06-29 00:00:00-07:00,24.44,20.9,23.1,channel_1027974_thingspeak
2020-06-30 00:00:00-07:00,24.44,20.6,22.4,channel_1027974_thingspeak
