time (UTC),max_temperature,min_temperature,mean_temperature,mean SLP,total_solar_radiation,max_uv_index,average speed,average dir,max gust
2020-06-25 00:00:00-07:00,16.2,13.2,14.3,1020.0,80.0,0.0,0.2,69,2.4
2020-06-26 00:00:00-07:00,25.2,9.7,16.3,1019.1,417483.0,6.5,0.5,102,4.3
2020-06-27 00:00:00-07:00,16.1,10.8,13.3,1017.0,159986.0,2.8,0.6,99,4.5
2020-06-28 00:00:00-07:00,22.0,10.6,14.6,1013.9,392603.0,7.8,0.4,82,4.6
2020-06-29 00:00:00-07:00,22.7,10.1,15.5,1016.7,367194.0,6.9,0.8,133,5.3
2020-06-30 00:00:00-07:00,16.6,12.1,13.9,1017.0,182259.0,4.5,0.4,111,4.7
