time (UTC),max_temperature,min_temperature,mean_temperature,station_id
2020-03-01 00:00:00-08:00,14.9,10.0,11.3,channel_843357_thingspeak
2020-03-02 00:00:00-08:00,9.9,9.0,9.5,channel_843357_thingspeak
2020-03-03 00:00:00-08:00,10.3,9.2,9.7,channel_843357_thingspeak
2020-03-04 00:00:00-08:00,12.5,8.1,9.8,channel_843357_thingspeak
2020-03-05 00:00:00-08:00,11.3,8.7,10.1,channel_843357_thingspeak
2020-03-06 00:00:00-08:00,9.7,7.7,8.9,channel_843357_thingspeak
2020-03-07 00:00:00-08:00,9.4,7.1,8.0,channel_843357_thingspeak
2020-03-08 00:00:00-08:00,8.9,6.0,7.5,channel_843357_thingspeak
2020-03-09 00:00:00-07:00,10.0,5.4,7.4,channel_843357_thingspeak
2020-03-10 00:00:00-07:00,8.9,6.4,7.6,channel_843357_thingspeak
2020-03-11 00:00:00-07:00,12.6,8.0,10.0,channel_843357_thingspeak
2020-03-12 00:00:00-07:00,10.1,8.1,9.4,channel_843357_thingspeak
2020-03-13 00:00:00-07:00,9.2,6.1,8.1,channel_843357_thingspeak
2020-03-14 00:00:00-07:00,8.4,4.9,6.3,channel_843357_thingspeak
2020-03-15 00:00:00-07:00,10.8,3.3,6.4,channel_843357_thingspeak
2020-03-16 00:00:00-07:00,11.3,5.2,8.2,channel_843357_thingspeak
2020-03-17 00:00:00-07:00,10.8,6.0,8.4,channel_843357_thingspeak
2020-03-18 00:00:00-07:00,13.0,6.4,9.4,channel_843357_thingspeak
2020-03-19 00:00:00-07:00,13.0,7.5,10.1,channel_843357_thingspeak
2020-03-20 00:00:00-07:00,14.0,8.4,11.1,channel_843357_thingspeak
2020-03-21 00:00:00-07:00,14.3,9.0,11.4,channel_843357_thingspeak
2020-03-22 00:00:00-07:00,12.8,8.9,10.9,channel_843357_thingspeak
2020-03-23 00:00:00-07:00,13.6,9.4,11.3,channel_843357_thingspeak
2020-03-24 00:00:00-07:00,13.6,9.4,10.9,channel_843357_thingspeak
2020-03-25 00:00:00-07:00,13.3,9.2,10.9,channel_843357_thingspeak
2020-03-26 00:00:00-07:00,11.8,10.2,11.0,channel_843357_thingspeak
2020-03-27 00:00:00-07:00,11.7,10.6,11.2,channel_843357_thingspeak
2020-03-28 00:00:00-07:00,13.3,11.4,12.3,channel_843357_thingspeak
2020-03-29 00:00:00-07:00,20.6,11.9,13.6,channel_843357_thingspeak
2020-03-30 00:00:00-07:00,14.1,11.9,13.2,channel_843357_thingspeak
2020-03-31 00:00:00-07:00,14.2,11.3,12.5,channel_843357_thingspeak
