time (UTC),max_temperature,min_temperature,mean_temperature,station_id
2020-07-01 00:00:00-07:00,19.9,18.4,19.1,channel_843357_thingspeak
2020-07-02 00:00:00-07:00,19.0,17.9,18.3,channel_843357_thingspeak
2020-07-03 00:00:00-07:00,23.6,17.8,19.9,channel_843357_thingspeak
2020-07-04 00:00:00-07:00,21.6,19.8,20.6,channel_843357_thingspeak
2020-07-05 00:00:00-07:00,20.9,18.0,19.5,channel_843357_thingspeak
2020-07-06 00:00:00-07:00,20.6,18.2,19.4,channel_843357_thingspeak
2020-07-07 00:00:00-07:00,20.1,19.1,19.4,channel_843357_thingspeak
2020-07-08 00:00:00-07:00,21.9,18.6,19.8,channel_843357_thingspeak
2020-07-09 00:00:00-07:00,21.3,20.0,20.6,channel_843357_thingspeak
2020-07-10 00:00:00-07:00,22.0,19.8,20.7,channel_843357_thingspeak
2020-07-11 00:00:00-07:00,21.2,19.6,20.4,channel_843357_thingspeak
2020-07-12 00:00:00-07:00,21.5,19.9,20.7,channel_843357_thingspeak
2020-07-13 00:00:00-07:00,21.7,19.2,20.4,channel_843357_thingspeak
2020-07-14 00:00:00-07:00,22.5,19.3,20.9,channel_843357_thingspeak
2020-07-15 00:00:00-07:00,23.3,20.5,21.8,channel_843357_thingspeak
2020-07-16 00:00:00-07:00,23.5,21.3,22.5,channel_843357_thingspeak
2020-07-17 00:00:00-07:00,23.3,21.5,22.3,channel_843357_thingspeak
2020-07-18 00:00:00-07:00,23.5,20.3,21.9,channel_843357_thingspeak
2020-07-19 00:00:00-07:00,24.6,21.7,23.1,channel_843357_thingspeak
2020-07-20 00:00:00-07:00,25.6,22.5,24.0,channel_843357_thingspeak
2020-07-21 00:00:00-07:00,25.5,23.2,24.5,channel_843357_thingspeak
2020-07-22 00:00:00-07:00,24.8,22.6,23.5,channel_843357_thingspeak
2020-07-23 00:00:00-07:00,23.4,21.8,22.5,channel_843357_thingspeak
2020-07-24 00:00:00-07:00,22.4,20.7,21.6,channel_843357_thingspeak
2020-07-25 00:00:00-07:00,22.8,19.7,21.2,channel_843357_thingspeak
2020-07-26 00:00:00-07:00,24.3,20.4,22.1,channel_843357_thingspeak
2020-07-27 00:00:00-07:00,26.0,22.6,24.2,channel_843357_thingspeak
2020-07-28 00:00:00-07:00,25.6,23.0,24.2,channel_843357_thingspeak
2020-07-29 00:00:00-07:00,24.7,21.9,23.5,channel_843357_thingspeak
2020-07-30 00:00:00-07:00,25.4,21.9,23.7,channel_843357_thingspeak
2020-07-31 00:00:00-07:00,25.1,23.2,24.2,channel_843357_thingspeak
