time (UTC),max_temperature,min_temperature,mean_temperature,mean_humidity,station_id
2020-04-13 00:00:00-07:00,23.7,21.3,22.7,36.4,channel_1037066_thingspeak
2020-04-14 00:00:00-07:00,24.3,19.0,21.5,37.0,channel_1037066_thingspeak
2020-04-15 00:00:00-07:00,26.0,20.9,23.2,36.9,channel_1037066_thingspeak
2020-04-16 00:00:00-07:00,25.2,21.1,23.0,35.4,channel_1037066_thingspeak
2020-04-17 00:00:00-07:00,27.1,17.2,22.6,35.3,channel_1037066_thingspeak
2020-04-18 00:00:00-07:00,23.3,20.3,21.9,39.2,channel_1037066_thingspeak
2020-04-19 00:00:00-07:00,23.9,20.1,21.9,39.9,channel_1037066_thingspeak
2020-04-20 00:00:00-07:00,25.7,19.8,22.7,39.5,channel_1037066_thingspeak
2020-04-21 00:00:00-07:00,22.9,20.6,21.9,43.0,channel_1037066_thingspeak
2020-04-22 00:00:00-07:00,,,,,channel_1037066_thingspeak
2020-04-23 00:00:00-07:00,22.8,20.6,21.8,46.6,channel_1037066_thingspeak
2020-04-24 00:00:00-07:00,22.4,19.5,20.9,46.2,channel_1037066_thingspeak
2020-04-25 00:00:00-07:00,22.5,15.5,18.5,55.2,channel_1037066_thingspeak
2020-04-26 00:00:00-07:00,16.0,14.5,15.3,61.5,channel_1037066_thingspeak
2020-04-27 00:00:00-07:00,16.3,14.6,15.7,65.7,channel_1037066_thingspeak
2020-04-28 00:00:00-07:00,16.0,14.4,15.5,65.7,channel_1037066_thingspeak
2020-04-29 00:00:00-07:00,17.0,15.3,16.1,65.9,channel_1037066_thingspeak
2020-04-30 00:00:00-07:00,16.6,15.5,16.0,65.0,channel_1037066_thingspeak
