time (UTC),max_temperature,min_temperature,mean_temperature,station_id
2020-04-10 00:00:00-07:00,24.77,21.9,23.5,channel_1027974_thingspeak
2020-04-11 00:00:00-07:00,22.51,19.0,21.0,channel_1027974_thingspeak
2020-04-12 00:00:00-07:00,22.83,18.0,20.3,channel_1027974_thingspeak
2020-04-13 00:00:00-07:00,25.41,17.4,21.0,channel_1027974_thingspeak
2020-04-14 00:00:00-07:00,24.77,18.0,21.2,channel_1027974_thingspeak
2020-04-15 00:00:00-07:00,29.92,-50.0,22.1,channel_1027974_thingspeak
2020-04-16 00:00:00-07:00,27.34,19.9,24.3,channel_1027974_thingspeak
2020-04-17 00:00:00-07:00,25.73,18.3,23.5,channel_1027974_thingspeak
2020-04-18 00:00:00-07:00,23.48,19.6,21.9,channel_1027974_thingspeak
2020-04-19 00:00:00-07:00,24.44,19.9,22.1,channel_1027974_thingspeak
2020-04-20 00:00:00-07:00,26.38,19.6,22.6,channel_1027974_thingspeak
2020-04-21 00:00:00-07:00,23.48,20.6,21.8,channel_1027974_thingspeak
2020-04-22 00:00:00-07:00,,,,channel_1027974_thingspeak
2020-04-23 00:00:00-07:00,23.48,20.6,22.1,channel_1027974_thingspeak
2020-04-24 00:00:00-07:00,22.83,19.6,21.3,channel_1027974_thingspeak
2020-04-25 00:00:00-07:00,24.77,20.6,22.4,channel_1027974_thingspeak
2020-04-26 00:00:00-07:00,25.73,21.5,23.2,channel_1027974_thingspeak
2020-04-27 00:00:00-07:00,26.38,23.8,24.8,channel_1027974_thingspeak
2020-04-28 00:00:00-07:00,25.09,22.8,24.1,channel_1027974_thingspeak
2020-04-29 00:00:00-07:00,25.41,22.8,24.4,channel_1027974_thingspeak
2020-04-30 00:00:00-07:00,24.77,21.9,23.1,channel_1027974_thingspeak
