time (UTC),max_temperature,min_temperature,mean_temperature,station_id
2020-06-01 00:00:00-07:00,18.2,16.0,17.2,channel_843357_thingspeak
2020-06-02 00:00:00-07:00,17.8,16.2,16.9,channel_843357_thingspeak
2020-06-03 00:00:00-07:00,18.2,16.2,17.2,channel_843357_thingspeak
2020-06-04 00:00:00-07:00,18.1,16.4,17.2,channel_843357_thingspeak
2020-06-05 00:00:00-07:00,18.6,16.4,17.6,channel_843357_thingspeak
2020-06-06 00:00:00-07:00,18.4,16.8,17.5,channel_843357_thingspeak
2020-06-07 00:00:00-07:00,18.7,16.8,17.6,channel_843357_thingspeak
2020-06-08 00:00:00-07:00,18.6,16.9,17.9,channel_843357_thingspeak
2020-06-09 00:00:00-07:00,18.0,16.9,17.5,channel_843357_thingspeak
2020-06-10 00:00:00-07:00,19.1,17.2,18.0,channel_843357_thingspeak
2020-06-11 00:00:00-07:00,19.8,18.4,18.9,channel_843357_thingspeak
2020-06-12 00:00:00-07:00,19.6,18.0,18.7,channel_843357_thingspeak
2020-06-13 00:00:00-07:00,18.2,17.0,17.6,channel_843357_thingspeak
2020-06-14 00:00:00-07:00,18.1,16.3,17.3,channel_843357_thingspeak
2020-06-15 00:00:00-07:00,17.6,17.1,17.4,channel_843357_thingspeak
2020-06-16 00:00:00-07:00,20.9,16.0,17.5,channel_843357_thingspeak
2020-06-17 00:00:00-07:00,19.6,17.9,18.7,channel_843357_thingspeak
2020-06-18 00:00:00-07:00,20.3,17.6,18.8,channel_843357_thingspeak
2020-06-19 00:00:00-07:00,21.2,19.0,20.1,channel_843357_thingspeak
2020-06-20 00:00:00-07:00,22.0,20.4,21.2,channel_843357_thingspeak
2020-06-21 00:00:00-07:00,21.5,19.6,20.4,channel_843357_thingspeak
2020-06-22 00:00:00-07:00,20.8,18.4,19.5,channel_843357_thingspeak
2020-06-23 00:00:00-07:00,21.6,18.7,20.1,channel_843357_thingspeak
2020-06-24 00:00:00-07:00,21.4,20.1,20.8,channel_843357_thingspeak
2020-06-25 00:00:00-07:00,21.9,19.5,20.5,channel_843357_thingspeak
2020-06-26 00:00:00-07:00,21.2,19.7,20.6,channel_843357_thingspeak
2020-06-27 00:00:00-07:00,22.5,20.2,21.1,channel_843357_thingspeak
2020-06-28 00:00:00-07:00,21.2,18.8,19.8,channel_843357_thingspeak
2020-06-29 00:00:00-07:00,21.7,19.2,20.1,channel_843357_thingspeak
2020-06-30 00:00:00-07:00,21.4,19.6,20.0,channel_843357_thingspeak
