time (UTC),max_temperature,min_temperature,mean_temperature,station_id
2020-07-01 00:00:00-07:00,26.83,26.8,26.8,channel_rpi
2020-07-02 00:00:00-07:00,26.83,26.8,26.8,channel_rpi
2020-07-03 00:00:00-07:00,,,,channel_rpi
2020-07-04 00:00:00-07:00,,,,channel_rpi
2020-07-05 00:00:00-07:00,,,,channel_rpi
2020-07-06 00:00:00-07:00,26.94,20.6,22.5,channel_rpi
2020-07-07 00:00:00-07:00,23.8,18.9,20.9,channel_rpi
2020-07-08 00:00:00-07:00,23.74,19.4,21.4,channel_rpi
2020-07-09 00:00:00-07:00,21.79,18.9,20.4,channel_rpi
2020-07-10 00:00:00-07:00,24.0,18.9,21.4,channel_rpi
2020-07-11 00:00:00-07:00,20.96,19.4,20.3,channel_rpi
2020-07-12 00:00:00-07:00,22.9,18.7,20.7,channel_rpi
2020-07-13 00:00:00-07:00,26.32,19.9,23.6,channel_rpi
2020-07-14 00:00:00-07:00,27.31,21.8,24.6,channel_rpi
2020-07-15 00:00:00-07:00,27.84,22.3,25.4,channel_rpi
2020-07-16 00:00:00-07:00,27.27,24.0,25.8,channel_rpi
2020-07-17 00:00:00-07:00,25.38,22.4,24.3,channel_rpi
2020-07-18 00:00:00-07:00,27.21,22.2,25.3,channel_rpi
2020-07-19 00:00:00-07:00,28.65,24.0,26.6,channel_rpi
2020-07-20 00:00:00-07:00,30.55,24.4,27.3,channel_rpi
2020-07-21 00:00:00-07:00,27.84,22.8,25.4,channel_rpi
2020-07-22 00:00:00-07:00,24.42,21.3,23.1,channel_rpi
2020-07-23 00:00:00-07:00,28.46,21.2,24.7,channel_rpi
2020-07-24 00:00:00-07:00,28.48,24.7,26.9,channel_rpi
2020-07-25 00:00:00-07:00,29.81,24.8,27.6,channel_rpi
2020-07-26 00:00:00-07:00,31.76,26.1,29.6,channel_rpi
2020-07-27 00:00:00-07:00,33.64,27.3,30.6,channel_rpi
2020-07-28 00:00:00-07:00,29.02,23.6,26.0,channel_rpi
2020-07-29 00:00:00-07:00,27.13,23.4,25.3,channel_rpi
2020-07-30 00:00:00-07:00,27.82,23.5,25.9,channel_rpi
2020-07-31 00:00:00-07:00,27.72,24.2,26.1,channel_rpi
