time (UTC),max_temperature,min_temperature,mean_temperature,station_id
2020-06-10 00:00:00-07:00,29.42,26.9,28.2,channel_rpi
2020-06-11 00:00:00-07:00,28.81,20.8,27.4,channel_rpi
2020-06-12 00:00:00-07:00,26.99,24.9,26.1,channel_rpi
2020-06-13 00:00:00-07:00,,,,channel_rpi
2020-06-14 00:00:00-07:00,26.63,23.4,25.1,channel_rpi
2020-06-15 00:00:00-07:00,24.86,23.2,24.2,channel_rpi
2020-06-16 00:00:00-07:00,23.76,20.1,23.7,channel_rpi
2020-06-17 00:00:00-07:00,23.76,23.8,23.8,channel_rpi
2020-06-18 00:00:00-07:00,23.76,23.8,23.8,channel_rpi
2020-06-19 00:00:00-07:00,23.76,23.8,23.8,channel_rpi
2020-06-20 00:00:00-07:00,23.76,23.8,23.8,channel_rpi
2020-06-21 00:00:00-07:00,23.76,23.8,23.8,channel_rpi
2020-06-22 00:00:00-07:00,23.76,23.8,23.8,channel_rpi
2020-06-23 00:00:00-07:00,23.76,23.8,23.8,channel_rpi
2020-06-24 00:00:00-07:00,23.76,23.8,23.8,channel_rpi
2020-06-25 00:00:00-07:00,25.5,23.8,25.4,channel_rpi
2020-06-26 00:00:00-07:00,25.5,20.8,23.6,channel_rpi
2020-06-27 00:00:00-07:00,24.14,24.1,24.1,channel_rpi
2020-06-28 00:00:00-07:00,24.14,24.1,24.1,channel_rpi
2020-06-29 00:00:00-07:00,26.83,24.1,26.1,channel_rpi
2020-06-30 00:00:00-07:00,26.83,26.8,26.8,channel_rpi
